"x","y","z","t","class"
-0.1748,-0.2013,0.3102,2021-12-16 10:28:35,0
-0.8116,1.6078,-3.5066,2021-12-16 10:28:36,0
1.0329,0.8468,-2.1951,2021-12-16 10:28:37,0
0.2249,1.2643,-2.5882,2021-12-16 10:28:38,0
-0.3777,-0.1372,1.1497,2021-12-16 10:28:39,0
0.3125,0.9765,-2.7684,2021-12-16 10:28:40,0
0.1946,-1.1899,2.2094,2021-12-16 10:28:41,0
-1.1587,-0.5662,0.479,2021-12-16 10:28:42,0
1.2717,0.2649,-2.0479,2021-12-16 10:28:43,0
-0.8504,-0.6959,0.4691,2021-12-16 10:28:44,0
1.2094,2.9919,-0.86,2021-12-16 10:28:45,0
-1.6934,-1.2099,1.4619,2021-12-16 10:28:46,0
-0.8789,-0.3601,0.0561,2021-12-16 10:28:47,0
2.3578,0.2957,-2.1895,2021-12-16 10:28:48,0
-0.5256,-0.3067,-0.8058,2021-12-16 10:28:49,0
0.2537,0.4644,0.1736,2021-12-16 10:28:50,0
0.2761,0.6952,-0.5119,2021-12-16 10:28:51,0
-0.7334,0.4253,-0.815,2021-12-16 10:28:52,0
-0.0657000000000001,0.1071,-0.2906,2021-12-16 10:28:53,0
-2.3102,-1.6512,0.6186,2021-12-16 10:28:54,0
-0.1424,0.196,-2.2022,2021-12-16 10:28:55,0
0.2879,-0.1532,-1.4165,2021-12-16 10:28:56,0
-0.1016,0.4595,0.8251,2021-12-16 10:28:57,0
-0.2337,0.3619,-0.4224,2021-12-16 10:28:58,0
0.169,0.0483,0.1472,2021-12-16 10:28:59,0
0.2974,1.0197,0.0274,2021-12-16 10:29:00,0
0.0226,-0.3105,-1.1502,2021-12-16 10:29:01,0
-0.6403,-0.582,-0.9613,2021-12-16 10:29:02,0
-0.3444,0.1514,-1.3547,2021-12-16 10:29:03,0
1.846,0.8984,-2.0661,2021-12-16 10:29:04,0
1.7504,-0.3049,-0.6172,2021-12-16 10:29:05,0
0.8148,-0.2899,-0.4266,2021-12-16 10:29:06,0
1.2995,0.9823,-0.2869,2021-12-16 10:29:07,0
-0.7955,0.0963999999999999,-2.0792,2021-12-16 10:29:08,0
-0.8186,-0.4471,-1.0384,2021-12-16 10:29:09,0
0.9541,-0.6995,-0.3418,2021-12-16 10:29:10,0
-0.0176,-0.3572,1.1561,2021-12-16 10:29:11,0
0.5949,-0.159,0.6199,2021-12-16 10:29:12,0
-0.2476,-2.6399,0.1499,2021-12-16 10:29:13,0
0.3749,-0.3434,1.2669,2021-12-16 10:29:14,0
-0.0138,0.0182,-1.7774,2021-12-16 10:29:15,0
0.4636,0.3377,-0.0907,2021-12-16 10:29:16,0
-1.2165,-1.1115,-0.7951,2021-12-16 10:29:17,0
1.2128,0.694,1.9394,2021-12-16 10:29:18,0
-1.1336,-0.8094,1.1144,2021-12-16 10:29:19,0
-0.5918,-0.3258,0.0206,2021-12-16 10:29:20,0
0.2989,0.4993,-0.9545,2021-12-16 10:29:21,0
2.1036,0.9661,-0.5562,2021-12-16 10:29:22,0
-0.5788,-0.0828,0.6629,2021-12-16 10:29:23,0
-0.4041,-1.0552,1.2768,2021-12-16 10:29:24,0
