"x","y","z","t","class"
2.2476,-3.0073,-2.4981,2022-01-06 16:20:54,2
-0.1585,-3.7701,-2.0768,2022-01-06 16:20:55,2
0.6249,-2.6477,0.5044,2022-01-06 16:20:56,2
0.8022,-0.1424,3.8343,2022-01-06 16:20:57,2
0.9825,2.3276,7.2357,2022-01-06 16:20:58,2
0.4415,1.6369,5.7316,2022-01-06 16:20:59,2
0.7236,2.9445,5.9304,2022-01-06 16:21:00,2
-0.4417,2.3968,3.1127,2022-01-06 16:21:01,2
0.1085,3.0917,-1.5505,2022-01-06 16:21:02,2
-1.4358,1.3304,-3.8461,2022-01-06 16:21:03,2
1.9194,3.1349,-5.7143,2022-01-06 16:21:04,2
-0.0168,1.9921,-12.7073,2022-01-06 16:21:05,2
-4.1802,-2.5611,-1.5497,2022-01-06 16:21:06,2
1.6005,-2.4499,-11.7074,2022-01-06 16:21:07,2
-0.2963,-3.8354,0.2238,2022-01-06 16:21:08,2
-0.8582,-2.0287,0.316,2022-01-06 16:21:09,2
0.1794,-0.1557,7.2303,2022-01-06 16:21:10,2
0.6795,1.8146,5.8977,2022-01-06 16:21:11,2
-0.3862,3.2341,4.2277,2022-01-06 16:21:12,2
0.8008,3.884,2.3648,2022-01-06 16:21:13,2
0.1065,2.0552,2.2113,2022-01-06 16:21:14,2
0.6565,1.3735,1.8561,2022-01-06 16:21:15,2
-2.2768,-3.3839,-3.3542,2022-01-06 16:21:16,2
0.8798,0.4395,-5.5805,2022-01-06 16:21:17,2
6.1216,-3.5099,-9.0091,2022-01-06 16:21:18,2
2.1013,-0.1327,-6.7355,2022-01-06 16:21:19,2
-0.4313,2.4934,-4.088,2022-01-06 16:21:20,2
-0.3536,-2.5025,1.3052,2022-01-06 16:21:21,2
0.3461,-1.928,4.2561,2022-01-06 16:21:22,2
0.4315,0.8769,4.5768,2022-01-06 16:21:23,2
-0.4229,-0.1265,4.5687,2022-01-06 16:21:24,2
0.3624,0.0802,4.8442,2022-01-06 16:21:25,2
-4.2851,0.7189,-0.3771,2022-01-06 16:21:26,2
-0.7026,1.6544,4.128,2022-01-06 16:21:27,2
1.9063,2.6761,2.5922,2022-01-06 16:21:28,2
-1.5198,-0.1379,-0.4822,2022-01-06 16:21:29,2
2.9854,0.9197,-9.4056,2022-01-06 16:21:30,2
0.7218,-1.1039,-5.9844,2022-01-06 16:21:31,2
-0.1065,-2.7778,-1.3688,2022-01-06 16:21:32,2
-0.7626,-1.9515,2.407,2022-01-06 16:21:33,2
-2.4919,-3.3067,8.2958,2022-01-06 16:21:34,2
0.112,-0.2223,6.1904,2022-01-06 16:21:35,2
0.9329,1.3344,6.3788,2022-01-06 16:21:36,2
-2.4045,0.2415,5.3921,2022-01-06 16:21:37,2
-0.887,0.7807,3.3994,2022-01-06 16:21:38,2
2.713,5.3127,-2.4697,2022-01-06 16:21:39,2
-0.7979,0.9447,1.1648,2022-01-06 16:21:40,2
1.0807,3.9377,-12.28,2022-01-06 16:21:41,2
-1.0372,2.1788,-5.2767,2022-01-06 16:21:42,2
1.858,-0.8439,-2.2196,2022-01-06 16:21:43,2
0.5509,-1.3158,-5.1362,2022-01-06 16:21:44,2
0.1826,-1.1072,-6.4856,2022-01-06 16:21:45,2
1.4185,-2.1248,2.2205,2022-01-06 16:21:46,2
-0.7858,-1.5185,3.2331,2022-01-06 16:21:47,2
-0.4678,-1.9872,1.6979,2022-01-06 16:21:48,2
0.4068,-2.7641,1.64,2022-01-06 16:21:49,2
0.3535,-2.9338,4.5367,2022-01-06 16:21:50,2
1.8566,0.6296,8.0692,2022-01-06 16:21:51,2
0.324,0.4178,9.5094,2022-01-06 16:21:52,2
-1.3116,0.4208,7.6438,2022-01-06 16:21:53,2
-0.9102,0.3653,8.2112,2022-01-06 16:21:54,2
-2.284,2.4305,0.4478,2022-01-06 16:21:55,2
-0.7358,0.6238,3.6879,2022-01-06 16:21:56,2
1.2031,2.4606,0.148,2022-01-06 16:21:57,2
2.798,5.4918,-1.6524,2022-01-06 16:21:58,2
0.9306,4.3931,-14.778,2022-01-06 16:21:59,2
0.0851000000000002,-0.6961,-8.4002,2022-01-06 16:22:00,2
1.8723,0.4775,-5.7575,2022-01-06 16:22:01,2
0.3845,-0.3274,-3.5538,2022-01-06 16:22:02,2
0.2401,-1.875,-1.4347,2022-01-06 16:22:03,2
-0.3751,-2.5352,4.629,2022-01-06 16:22:04,2
0.6083,-2.5983,5.9997,2022-01-06 16:22:05,2
-0.3325,-1.5846,9.0339,2022-01-06 16:22:06,2
-0.458,1.4606,6.285,2022-01-06 16:22:07,2
0.0934,2.3692,5.3153,2022-01-06 16:22:08,2
-3.2877,1.3434,4.3429,2022-01-06 16:22:09,2
-1.4003,3.3606,-1.0478,2022-01-06 16:22:10,2
-1.2911,-0.6985,-5.3436,2022-01-06 16:22:11,2
