"x","y","z","t","class"
0.0642,0.4058,-0.2163,2021-12-17 08:18:11,1
0.2929,-0.0164,0.00410000000000002,2021-12-17 08:18:12,1
0.7761,2.1532,-0.2771,2021-12-17 08:18:13,1
0.1916,0.4154,-0.073,2021-12-17 08:18:14,1
0.0563,0.0101,-0.1993,2021-12-17 08:18:15,1
0.3305,-0.011,-0.3493,2021-12-17 08:18:16,1
0.4423,-0.3394,-0.1875,2021-12-17 08:18:17,1
0.2878,-0.1705,0.2238,2021-12-17 08:18:18,1
-0.1545,-0.0682,0.1559,2021-12-17 08:18:19,1
0.1257,-0.2725,-0.2089,2021-12-17 08:18:20,1
-0.2131,0.1885,0.163,2021-12-17 08:18:21,1
-0.3228,-0.3838,0.077,2021-12-17 08:18:22,1
0.0251,0.0607,0.0302,2021-12-17 08:18:23,1
0.1199,-0.0894,-0.1032,2021-12-17 08:18:24,1
-0.3024,0.1275,-0.1511,2021-12-17 08:18:25,1
-0.3213,-0.0199,-0.1522,2021-12-17 08:18:26,1
0.2776,0.0638,-0.0577,2021-12-17 08:18:27,1
0.0666,0.0115,0.0785,2021-12-17 08:18:28,1
-0.19,0.0274,-0.138,2021-12-17 08:18:29,1
-0.0485,0.0156,-0.0364,2021-12-17 08:18:30,1
0.1152,0.036,0.0647,2021-12-17 08:18:31,1
-0.0228,0.2183,-0.0343,2021-12-17 08:18:32,1
0.0127,-0.0132,-0.0563,2021-12-17 08:18:33,1
0.0204,0.0359,-0.0616,2021-12-17 08:18:34,1
-0.0371,-0.0575,-0.0582,2021-12-17 08:18:35,1
-0.0729,0.0156,-0.1597,2021-12-17 08:18:36,1
-0.0492,0.0201,-0.1303,2021-12-17 08:18:37,1
0.0113,0.0121,-0.1271,2021-12-17 08:18:38,1
-0.0011,-0.0097,0.0901,2021-12-17 08:18:39,1
-0.0107,-0.0039,0.0349,2021-12-17 08:18:40,1
0.0717,-0.018,-0.0284,2021-12-17 08:18:41,1
-0.0023,-0.0396,-0.1679,2021-12-17 08:18:42,1
-0.1553,-0.2579,-0.2334,2021-12-17 08:18:43,1
0.0825,-0.1808,0.0339,2021-12-17 08:18:44,1
-0.1856,-0.00240000000000001,-0.1806,2021-12-17 08:18:45,1
0.444,-0.0362,-0.3508,2021-12-17 08:18:46,1
-0.0768,0.5042,-0.2157,2021-12-17 08:18:47,1
-0.2415,-0.1558,-0.4756,2021-12-17 08:18:48,1
-0.4154,-0.0385,0.2878,2021-12-17 08:18:49,1
0.125,0.0533,0.1318,2021-12-17 08:18:50,1
-0.1019,0.1074,0.0068,2021-12-17 08:18:51,1
-0.1097,0.0203,0.1879,2021-12-17 08:18:52,1
0.141,-0.1564,0.3612,2021-12-17 08:18:53,1
-0.2056,-0.2245,-0.116,2021-12-17 08:18:54,1
0.1602,0.052,-0.3538,2021-12-17 08:18:55,1
-0.2489,0.2333,-0.6644,2021-12-17 08:18:56,1
0.0579,-0.1393,-0.5091,2021-12-17 08:18:57,1
-0.0151,-0.1295,0.4441,2021-12-17 08:18:58,1
-0.3329,0.096,-0.0979,2021-12-17 08:18:59,1
-0.6185,-0.0658,-1.6034,2021-12-17 08:19:00,1
-0.0859,-0.1187,-0.1633,2021-12-17 08:19:01,1
-0.1096,-0.6404,-0.1544,2021-12-17 08:19:02,1
0.0492,0.0367,0.1484,2021-12-17 08:19:03,1
0.1462,-0.2633,-0.6127,2021-12-17 08:19:04,1
-0.2243,-0.4277,0.1778,2021-12-17 08:19:05,1
0.2138,-0.3897,-0.3662,2021-12-17 08:19:06,1
0.9801,0.5014,-0.6208,2021-12-17 08:19:07,1
0.2432,1.2324,-3.8621,2021-12-17 08:19:08,1
0.5556,0.3951,-0.695,2021-12-17 08:19:09,1
0.615,0.0193,-0.3845,2021-12-17 08:19:10,1
0.1516,-0.0164,-0.2054,2021-12-17 08:19:11,1
0.1898,-0.2664,0.5021,2021-12-17 08:19:12,1
-0.6561,0.0675,0.5712,2021-12-17 08:19:13,1
0.0421,-0.0585,0.644,2021-12-17 08:19:14,1
-0.0525,0.2025,-0.31,2021-12-17 08:19:15,1
-0.0467,-0.116,-0.1569,2021-12-17 08:19:16,1
-0.3937,0.1411,0.6861,2021-12-17 08:19:17,1
1.3683,-0.2243,-1.1081,2021-12-17 08:19:18,1
-0.00319999999999999,0.1641,-0.1621,2021-12-17 08:19:19,1
0.9603,0.9022,0.2014,2021-12-17 08:19:20,1
-0.1197,0.1248,-0.243,2021-12-17 08:19:21,1
-0.0239,-0.1647,-0.5078,2021-12-17 08:19:22,1
0.321,0.3211,-0.2493,2021-12-17 08:19:23,1
-0.5128,0.5281,-0.6522,2021-12-17 08:19:24,1
0.306,-0.0958,0.3152,2021-12-17 08:19:25,1
-0.0837,-0.239,-1.2138,2021-12-17 08:19:26,1
-0.4103,0.0287,-0.1907,2021-12-17 08:19:27,1
0.2673,-0.3527,-0.4802,2021-12-17 08:19:28,1
0.2714,-0.1507,0.0692,2021-12-17 08:19:29,1
0.0859,-0.00880000000000003,-0.6157,2021-12-17 08:19:30,1
0.0628,-0.0262,0.3674,2021-12-17 08:19:31,1
-0.5827,0.3727,0.9804,2021-12-17 08:19:32,1
-0.4167,-0.7335,0.135,2021-12-17 08:19:33,1
0.0834,0.2712,-0.2004,2021-12-17 08:19:34,1
0.4532,-4.4456,3.5762,2021-12-17 08:19:35,1
-0.0502,-0.0503,0.2119,2021-12-17 08:19:36,1
0.0477,1.8126,-2.7121,2021-12-17 08:19:37,1
1.5358,-0.2061,3.6635,2021-12-17 08:19:38,1
-0.9453,-0.4271,-0.3801,2021-12-17 08:19:39,1
0.2608,-0.9101,0.3419,2021-12-17 08:19:40,1
-0.2445,0.2985,-0.1199,2021-12-17 08:19:41,1
0.1289,-0.2915,-0.0931,2021-12-17 08:19:42,1
-0.133,-0.4323,-0.4312,2021-12-17 08:19:43,1
-0.306,-0.9085,-0.2112,2021-12-17 08:19:44,1
-0.6887,-0.5416,-0.2688,2021-12-17 08:19:45,1
-0.3887,-0.3753,0.3468,2021-12-17 08:19:46,1
-0.4938,-0.1952,-0.685,2021-12-17 08:19:47,1
-0.5793,-0.1045,-0.5516,2021-12-17 08:19:48,1
-0.7555,-0.3849,0.0168,2021-12-17 08:19:49,1
-0.3944,-0.9174,0.2147,2021-12-17 08:19:50,1
0.2007,-0.1953,-1.0716,2021-12-17 08:19:51,1
-0.596,0.4359,0.0992,2021-12-17 08:19:52,1
-0.137,0.2183,0.0844,2021-12-17 08:19:53,1
-0.5204,-0.0462,-0.453,2021-12-17 08:19:54,1
-0.2492,-0.6901,0.0745,2021-12-17 08:19:55,1
-0.4019,-0.3769,-0.0506,2021-12-17 08:19:56,1
-0.4054,0.2453,-0.2666,2021-12-17 08:19:57,1
-0.1055,1.2868,-0.9015,2021-12-17 08:19:58,1
-0.2778,0.7118,-0.0715,2021-12-17 08:19:59,1
-0.2798,0.0358,-0.2089,2021-12-17 08:20:00,1
-0.1347,0.1874,0.331,2021-12-17 08:20:01,1
0.1555,0.0453,-0.0593,2021-12-17 08:20:02,1
0.3169,0.0443,-0.4868,2021-12-17 08:20:03,1
0.0417,-0.3475,0.2559,2021-12-17 08:20:04,1
-0.2589,-0.0543,-0.0033,2021-12-17 08:20:05,1
0.11,0.1434,-0.2014,2021-12-17 08:20:06,1
0.0073,0.1943,-0.5075,2021-12-17 08:20:07,1
-0.1831,-0.6421,-0.2481,2021-12-17 08:20:08,1
0.0785,-0.9624,0.0381,2021-12-17 08:20:09,1
-0.1156,0.2383,-0.255,2021-12-17 08:20:10,1
-0.0631,-0.7638,0.3205,2021-12-17 08:20:11,1
