"x","y","z","t","class"
-1.0297,0.2281,-0.8104,2021-12-24 16:30:55,1
-0.224,-0.017,-0.1623,2021-12-24 16:30:56,1
0.3268,-0.1373,-1.0168,2021-12-24 16:30:57,1
-0.2087,-0.1339,-0.7008,2021-12-24 16:30:58,1
0.5291,-0.3471,-1.0517,2021-12-24 16:30:59,1
-0.085,0.3386,-1.0456,2021-12-24 16:31:00,1
-0.0194,-0.0747,0.5565,2021-12-24 16:31:01,1
0.4214,-0.0923,0.9356,2021-12-24 16:31:02,1
0.3114,0.0349,0.308,2021-12-24 16:31:03,1
-0.0648,0.0144,0.1419,2021-12-24 16:31:04,1
-0.0118,0.1486,0.2946,2021-12-24 16:31:05,1
0.4144,0.00730000000000001,0.0259,2021-12-24 16:31:06,1
-0.0019,-0.1931,0.5593,2021-12-24 16:31:07,1
-0.27,0.0311,-0.2579,2021-12-24 16:31:08,1
-0.6121,0.685,1.2104,2021-12-24 16:31:09,1
0.1905,-0.6585,-1.9341,2021-12-24 16:31:10,1
-0.0819,0.2286,-2.4451,2021-12-24 16:31:11,1
0.7065,-0.0956,-3.8403,2021-12-24 16:31:12,1
-0.1059,0.1474,-1.3461,2021-12-24 16:31:13,1
0.5713,-0.3217,-1.7827,2021-12-24 16:31:14,1
0.2272,0.1089,0.3165,2021-12-24 16:31:15,1
0.3502,0.208,-1.6773,2021-12-24 16:31:16,1
-0.3094,-0.2835,-0.2774,2021-12-24 16:31:17,1
-0.2835,-0.5506,-1.2238,2021-12-24 16:31:18,1
0.3613,-0.3669,0.6415,2021-12-24 16:31:19,1
0.4363,-0.1845,1.2482,2021-12-24 16:31:20,1
0.1162,-0.2745,0.1945,2021-12-24 16:31:21,1
-0.0254,0.2541,0.9874,2021-12-24 16:31:22,1
-0.1443,0.1186,-0.3581,2021-12-24 16:31:23,1
0.3253,0.2539,-0.7792,2021-12-24 16:31:24,1
-0.3367,0.1693,1.4687,2021-12-24 16:31:25,1
0.1593,-0.0325,0.5331,2021-12-24 16:31:26,1
-0.1781,-0.0492,0.4328,2021-12-24 16:31:27,1
-0.1963,-0.4759,-0.0729,2021-12-24 16:31:28,1
-0.1673,-0.1041,0.6555,2021-12-24 16:31:29,1
0.0237,0.2388,0.6001,2021-12-24 16:31:30,1
0.0449,0.0319,0.1592,2021-12-24 16:31:31,1
-0.0243,-0.0505,1.7312,2021-12-24 16:31:32,1
-0.0976,-0.2833,-1.1683,2021-12-24 16:31:33,1
0.4254,-0.4739,-1.534,2021-12-24 16:31:34,1
0.0555,0.6408,-3.5058,2021-12-24 16:31:35,1
-0.2494,0.0943,2.416,2021-12-24 16:31:36,1
-0.4922,0.4739,1.2011,2021-12-24 16:31:37,1
