"x","y","z","t","class"
-1.623,-10.0475,8.9633,2021-12-18 13:53:59,2
-5.3156,-3.701,6.1138,2021-12-18 13:54:00,2
-1.7224,2.8668,-1.0222,2021-12-18 13:54:01,2
7.2434,9.0866,-9.0148,2021-12-18 13:54:02,2
0.4942,11.8666,5.4772,2021-12-18 13:54:03,2
5.5282,-0.5241,-10.5706,2021-12-18 13:54:04,2
-1.3858,-1.6228,-3.2261,2021-12-18 13:54:05,2
87.327,61.158,132.6138,2021-12-18 13:54:06,2
-1.558,-6.5302,2.8832,2021-12-18 13:54:07,2
-5.867,-6.7493,8.5139,2021-12-18 13:54:08,2
0.134,-3.3666,2.3867,2021-12-18 13:54:09,2
-6.8862,-5.1768,2.3403,2021-12-18 13:54:10,2
-2.6016,-5.0082,-15.0431,2021-12-18 13:54:11,2
3.6637,9.1385,-1.2222,2021-12-18 13:54:12,2
-5.7234,-3.0842,-0.0478,2021-12-18 13:54:13,2
-6.2305,-5.6178,4.1364,2021-12-18 13:54:14,2
-3.0877,-1.7739,5.9258,2021-12-18 13:54:15,2
15.061,34.0132,58.9079,2021-12-18 13:54:16,2
0.0434,-5.7711,1.6359,2021-12-18 13:54:17,2
-1.9354,-14.4341,-3.8194,2021-12-18 13:54:18,2
-1.811,-9.7309,-0.9937,2021-12-18 13:54:19,2
2.5113,1.7162,-11.4926,2021-12-18 13:54:20,2
4.0696,19.3341,5.3835,2021-12-18 13:54:21,2
-3.4748,-4.0796,-0.0829,2021-12-18 13:54:22,2
5.5723,-1.7189,-4.7453,2021-12-18 13:54:23,2
3.7592,-5.2591,-8.0145,2021-12-18 13:54:24,2
4.04,-1.2689,0.418,2021-12-18 13:54:25,2
-1.8604,7.9092,-1.3931,2021-12-18 13:54:26,2
-6.1767,-4.0908,-3.015,2021-12-18 13:54:27,2
2.0736,-0.2334,-11.9111,2021-12-18 13:54:28,2
-3.7012,-4.5383,7.2587,2021-12-18 13:54:29,2
-0.638,-9.0826,2.0003,2021-12-18 13:54:30,2
-6.0935,-0.541,0.468,2021-12-18 13:54:31,2
0.2357,-6.9659,-1.8118,2021-12-18 13:54:32,2
-1.2495,1.944,5.3356,2021-12-18 13:54:33,2
-1.8336,0.0383999999999998,2.621,2021-12-18 13:54:34,2
-7.7295,-8.8352,-15.0369,2021-12-18 13:54:35,2
-5.826,18.1578,-3.051,2021-12-18 13:54:36,2
2.106,-2.5547,2.7744,2021-12-18 13:54:37,2
-67.167,-46.4832,12.3221,2021-12-18 13:54:38,2
-2.8371,18.0296,6.7139,2021-12-18 13:54:39,2
-0.8823,0.5618,-5.2814,2021-12-18 13:54:40,2
-8.1565,-25.4872,1.1783,2021-12-18 13:54:41,2
-6.8979,-3.172,10.2696,2021-12-18 13:54:42,2
-0.7601,2.3824,-3.7077,2021-12-18 13:54:43,2
-7.727,6.757,-16.1177,2021-12-18 13:54:44,2
-16.8352,-7.0328,-31.5236,2021-12-18 13:54:45,2
-0.4872,6.1823,4.6073,2021-12-18 13:54:46,2
-5.9358,-2.6567,-4.3909,2021-12-18 13:54:47,2
4.3372,4.5262,-8.8045,2021-12-18 13:54:48,2
-0.7192,0.9977,-4.352,2021-12-18 13:54:49,2
2.4552,9.6839,-10.3621,2021-12-18 13:54:50,2
-1.4178,8.833,4.6982,2021-12-18 13:54:51,2
17.0047,12.9864,-3.5438,2021-12-18 13:54:52,2
-2.4589,4.5074,5.1471,2021-12-18 13:54:53,2
1.883,-0.6137,3.975,2021-12-18 13:54:54,2
35.2613,12.4412,-36.4534,2021-12-18 13:54:55,2
0.1256,-0.3963,2.342,2021-12-18 13:54:56,2
35.2618,-0.020999999999999,-43.4895,2021-12-18 13:54:57,2
-5.7695,-3.3235,5.29,2021-12-18 13:54:58,2
-4.656,-44.6445,34.0289,2021-12-18 13:54:59,2
-1.7737,6.4192,-1.223,2021-12-18 13:55:00,2
0.8545,0.9045,-0.5237,2021-12-18 13:55:01,2
-5.0114,-13.2506,13.021,2021-12-18 13:55:02,2
-1.3793,-2.8463,7.9965,2021-12-18 13:55:03,2
-3.4526,6.7096,-6.8824,2021-12-18 13:55:04,2
-4.1518,-11.3753,6.8389,2021-12-18 13:55:05,2
-7.5097,1.7766,4.5576,2021-12-18 13:55:06,2
4.2614,8.1378,9.9814,2021-12-18 13:55:07,2
7.4305,7.4919,-11.9363,2021-12-18 13:55:08,2
-5.1815,-1.8771,2.8855,2021-12-18 13:55:09,2
-5.932,-7.5568,-2.451,2021-12-18 13:55:10,2
-0.9972,-1.6648,-0.4532,2021-12-18 13:55:11,2
4.9084,5.1296,-9.4336,2021-12-18 13:55:12,2
1.6676,-1.9561,-2.1911,2021-12-18 13:55:13,2
-3.672,1.1318,5.5965,2021-12-18 13:55:14,2
-7.3062,0.1699,-9.3338,2021-12-18 13:55:15,2
5.1858,-4.605,3.7588,2021-12-18 13:55:16,2
1.4168,-5.8914,-6.076,2021-12-18 13:55:17,2
-1.9308,3.479,0.2844,2021-12-18 13:55:18,2
-1.2762,-4.8937,0.4477,2021-12-18 13:55:19,2
-4.6529,4.2457,-2.9426,2021-12-18 13:55:20,2
5.1689,-4.5002,-2.8387,2021-12-18 13:55:21,2
1.8024,10.4243,9.4772,2021-12-18 13:55:22,2
-4.7543,1.5239,2.0825,2021-12-18 13:55:23,2
-5.3476,-1.8554,8.7639,2021-12-18 13:55:24,2
3.2669,-4.4046,-1.92,2021-12-18 13:55:25,2
2.4056,-0.4389,-11.0028,2021-12-18 13:55:26,2
-1.7701,3.6577,-0.24,2021-12-18 13:55:27,2
-1.2985,10.2884,6.2539,2021-12-18 13:55:28,2
0.7893,-4.9551,1.3509,2021-12-18 13:55:29,2
2.089,1.5512,-4.7318,2021-12-18 13:55:30,2
1.6201,1.4631,-4.9125,2021-12-18 13:55:31,2
-3.3916,1.5803,3.1594,2021-12-18 13:55:32,2
-1.5949,-7.8833,-1.2611,2021-12-18 13:55:33,2
-6.4756,-3.1052,3.9835,2021-12-18 13:55:34,2
1.8178,-2.7123,-1.5597,2021-12-18 13:55:35,2
-4.0236,9.905,3.0184,2021-12-18 13:55:36,2
3.1884,8.4265,4.1842,2021-12-18 13:55:37,2
-1.1511,-8.8168,1.3953,2021-12-18 13:55:38,2
0.2376,-5.8728,2.0203,2021-12-18 13:55:39,2
8.802,0.1264,-6.56,2021-12-18 13:55:40,2
2.2063,12.3898,10.4677,2021-12-18 13:55:41,2
0.5605,1.6888,5.0251,2021-12-18 13:55:42,2
-3.5855,-6.8972,2.3548,2021-12-18 13:55:43,2
-5.2831,-3.6884,8.9971,2021-12-18 13:55:44,2
3.4273,1.7787,-8.4228,2021-12-18 13:55:45,2
2.223,3.6929,-3.6349,2021-12-18 13:55:46,2
2.2528,7.911,2.7456,2021-12-18 13:55:47,2
1.1193,9.1635,2.1009,2021-12-18 13:55:48,2
-2.8816,-8.2009,-2.4083,2021-12-18 13:55:49,2
-4.7482,-4.9634,2.1588,2021-12-18 13:55:50,2
1.476,-1.9708,-10.2402,2021-12-18 13:55:51,2
5.6183,1.1133,-0.3158,2021-12-18 13:55:52,2
2.1322,8.4896,3.2389,2021-12-18 13:55:53,2
-1.4879,-0.4158,2.3526,2021-12-18 13:55:54,2
-3.786,1.1841,2.3332,2021-12-18 13:55:55,2
4.8509,3.4384,-6.4034,2021-12-18 13:55:56,2
4.3747,6.7406,-1.3499,2021-12-18 13:55:57,2
-3.968,-3.8303,-6.068,2021-12-18 13:55:58,2
-2.1438,-8.5211,2.5363,2021-12-18 13:55:59,2
-2.8369,-2.3193,-4.584,2021-12-18 13:56:00,2
-6.1547,-0.1277,4.9876,2021-12-18 13:56:01,2
1.4796,-4.8745,0.4568,2021-12-18 13:56:02,2
0.6785,-2.0745,-3.9167,2021-12-18 13:56:03,2
-9.1595,2.9529,10.3196,2021-12-18 13:56:04,2
-3.6389,-1.6312,5.3837,2021-12-18 13:56:05,2
-0.2445,-12.8353,-21.0892,2021-12-18 13:56:06,2
-1.4894,2.2189,1.4099,2021-12-18 13:56:07,2
-1.0496,-0.7048,2.6503,2021-12-18 13:56:08,2
4.9967,-1.6682,-8.9964,2021-12-18 13:56:09,2
-1.4145,-6.3756,4.6557,2021-12-18 13:56:10,2
-0.8679,-5.103,-0.8044,2021-12-18 13:56:11,2
-6.0455,-15.591,4.9801,2021-12-18 13:56:12,2
-11.6518,-4.9346,17.9268,2021-12-18 13:56:13,2
1.3642,4.5837,8.751,2021-12-18 13:56:14,2
3.2745,-4.3359,-7.0286,2021-12-18 13:56:15,2
1.8563,13.9085,9.7922,2021-12-18 13:56:16,2
-3.5766,2.5277,1.0246,2021-12-18 13:56:17,2
-1.709,-8.1317,6.6537,2021-12-18 13:56:18,2
9.6602,1.6976,-7.7461,2021-12-18 13:56:19,2
4.2215,-2.5967,-7.4838,2021-12-18 13:56:20,2
1.031,4.8514,-4.1182,2021-12-18 13:56:21,2
-9.7222,-9.2258,12.7106,2021-12-18 13:56:22,2
-0.2373,-2.7343,3.8824,2021-12-18 13:56:23,2
5.5961,-5.043,-0.2957,2021-12-18 13:56:24,2
6.1563,12.9554,15.689,2021-12-18 13:56:25,2
-0.2795,-0.0606,3.5569,2021-12-18 13:56:26,2
-3.6562,-5.7136,-2.1845,2021-12-18 13:56:27,2
0.4877,-4.5011,0.1648,2021-12-18 13:56:28,2
3.9967,-6.3281,-7.3917,2021-12-18 13:56:29,2
4.7485,5.6069,-6.5709,2021-12-18 13:56:30,2
-3.7973,-6.4379,-0.0647,2021-12-18 13:56:31,2
-5.6102,-7.4433,9.0577,2021-12-18 13:56:32,2
-1.3596,-1.6162,-7.4152,2021-12-18 13:56:33,2
2.1411,-4.1997,-5.6992,2021-12-18 13:56:34,2
1.4848,9.1369,-4.4536,2021-12-18 13:56:35,2
1.5296,-3.2754,7.1364,2021-12-18 13:56:36,2
0.87,-6.2257,2.858,2021-12-18 13:56:37,2
-2.5266,3.6624,0.00840000000000007,2021-12-18 13:56:38,2
6.94,-3.1269,-11.2522,2021-12-18 13:56:39,2
6.6332,3.812,-4.9158,2021-12-18 13:56:40,2
-0.5087,4.8333,2.9502,2021-12-18 13:56:41,2
-3.4601,-1.7011,1.619,2021-12-18 13:56:42,2
-2.0605,-5.1235,0.5701,2021-12-18 13:56:43,2
3.2687,3.4931,-6.5198,2021-12-18 13:56:44,2
3.9144,5.2907,-7.7624,2021-12-18 13:56:45,2
-1.7457,11.8146,9.7012,2021-12-18 13:56:46,2
-5.1452,-13.6772,-1.0306,2021-12-18 13:56:47,2
-3.9949,-6.3326,0.5561,2021-12-18 13:56:48,2
-3.416,-2.0117,-7.333,2021-12-18 13:56:49,2
4.374,-2.8482,-3.5116,2021-12-18 13:56:50,2
3.4266,15.8932,12.9566,2021-12-18 13:56:51,2
-3.3555,-3.2913,1.7124,2021-12-18 13:56:52,2
-6.0583,-6.6258,2.3255,2021-12-18 13:56:53,2
-1.442,7.7214,20.6276,2021-12-18 13:56:54,2
3.5023,2.5122,-7.2733,2021-12-18 13:56:55,2
2.1403,8.8729,-6.4182,2021-12-18 13:56:56,2
-0.8779,13.5053,14.3368,2021-12-18 13:56:57,2
-0.0703,-0.9115,1.1288,2021-12-18 13:56:58,2
2.0539,-1.6777,0.8913,2021-12-18 13:56:59,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:00,2
4.1253,-12.4872,2.2248,2021-12-18 13:57:01,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:02,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:03,2
4.1253,-12.4872,2.2248,2021-12-18 13:57:04,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:05,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:06,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:07,2
4.1253,-12.4872,2.2248,2021-12-18 13:57:08,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:09,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:10,2
4.1253,-12.4872,2.2248,2021-12-18 13:57:11,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:12,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:13,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:14,2
4.1253,-12.4872,2.2248,2021-12-18 13:57:15,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:16,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:17,2
4.1253,-12.4872,2.2248,2021-12-18 13:57:18,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:19,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:20,2
4.1253,-12.4872,2.2248,2021-12-18 13:57:21,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:22,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:23,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:24,2
4.1253,-12.4872,2.2248,2021-12-18 13:57:25,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:26,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:27,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:28,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:29,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:30,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:31,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:32,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:33,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:34,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:35,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:36,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:37,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:38,2
2.7502,-8.3248,1.4832,2021-12-18 13:57:39,2
