"","x","y","z","t","class"
"37",2.7193,2.4335,-0.9581,2021-12-18 13:53:15,2
"38",-2.204,1.1154,-2.0774,2021-12-18 13:53:16,2
"39",0.3662,0.0306,-0.443,2021-12-18 13:53:17,2
"40",0.2175,0.0825,0.0303,2021-12-18 13:53:18,2
"41",-2.0233,-0.00950000000000001,-1.2427,2021-12-18 13:53:19,2
"42",0.4708,0.1938,2.153,2021-12-18 13:53:20,2
"43",-2.2822,2.3265,-1.0868,2021-12-18 13:53:21,2
"44",1.0199,1.78,-3.5991,2021-12-18 13:53:22,2
"45",0.4039,3.9622,-7.7191,2021-12-18 13:53:23,2
"46",1.4196,2.0105,-11.7118,2021-12-18 13:53:24,2
"47",3.2102,-6.3179,-4.1057,2021-12-18 13:53:25,2
"48",0.0489,0.7866,1.78,2021-12-18 13:53:26,2
"49",-2.5144,2.6352,1.8061,2021-12-18 13:53:27,2
"50",7.8725,-1.3463,-0.5307,2021-12-18 13:53:28,2
"51",5.0605,-3.41,8.4832,2021-12-18 13:53:29,2
"52",8.4124,10.0004,-6.6928,2021-12-18 13:53:30,2
"53",7.4361,0.8234,-12.9807,2021-12-18 13:53:31,2
"54",-0.2112,5.2746,0.6312,2021-12-18 13:53:32,2
"55",14.5545,-19.5939,1.8831,2021-12-18 13:53:33,2
"56",-5.8409,0.0879000000000001,6.2066,2021-12-18 13:53:34,2
"57",6.9951,4.1372,-9.2024,2021-12-18 13:53:35,2
"58",9.4356,5.83,-7.1711,2021-12-18 13:53:36,2
"59",-2.3811,8.8599,-3.0322,2021-12-18 13:53:37,2
"60",74.3534,20.2683,-50.4838,2021-12-18 13:53:38,2
"61",6.6778,-2.1408,-15.5573,2021-12-18 13:53:39,2
"62",8.1514,-3.3331,-6.8723,2021-12-18 13:53:40,2
"63",1.3498,12.0726,13.5003,2021-12-18 13:53:41,2
"64",0.4413,5.3755,1.684,2021-12-18 13:53:42,2
"65",-1.7849,-2.6666,-48.8612,2021-12-18 13:53:43,2
"66",-3.5472,2.33,4.8468,2021-12-18 13:53:44,2
"67",-38.6058,-10.3541,-9.85179999999999,2021-12-18 13:53:45,2
"68",15.5051,-11.6095,29.0913,2021-12-18 13:53:46,2
"69",37.8738,-202.7321,268.9245,2021-12-18 13:53:47,2
"70",0.9444,2.4505,-8.4548,2021-12-18 13:53:48,2
"71",0.9452,6.4365,0.4669,2021-12-18 13:53:49,2
"72",0.515,-1.3419,4.1891,2021-12-18 13:53:50,2
"73",-13.2922,28.8541,-59.8461,2021-12-18 13:53:51,2
"74",-1.6685,-6.8632,5.2659,2021-12-18 13:53:52,2
"75",-6.1112,-3.6814,4.6557,2021-12-18 13:53:53,2
"76",-0.7676,0.8058,-5.2838,2021-12-18 13:53:54,2
"77",1.3257,-3.2069,-0.5052,2021-12-18 13:53:55,2
"78",-0.2278,-2.6046,5.2419,2021-12-18 13:53:56,2
"79",16.7729,-47.0917,20.6592,2021-12-18 13:53:57,2
"80",-0.9287,4.1543,2.2342,2021-12-18 13:53:58,2
"81",-1.623,-10.0475,8.9633,2021-12-18 13:53:59,2
"82",-5.3156,-3.701,6.1138,2021-12-18 13:54:00,2
"83",-1.7224,2.8668,-1.0222,2021-12-18 13:54:01,2
"84",7.2434,9.0866,-9.0148,2021-12-18 13:54:02,2
"85",0.4942,11.8666,5.4772,2021-12-18 13:54:03,2
"86",5.5282,-0.5241,-10.5706,2021-12-18 13:54:04,2
"87",-1.3858,-1.6228,-3.2261,2021-12-18 13:54:05,2
"88",87.327,61.158,132.6138,2021-12-18 13:54:06,2
"89",-1.558,-6.5302,2.8832,2021-12-18 13:54:07,2
"90",-5.867,-6.7493,8.5139,2021-12-18 13:54:08,2
"91",0.134,-3.3666,2.3867,2021-12-18 13:54:09,2
"92",-6.8862,-5.1768,2.3403,2021-12-18 13:54:10,2
"93",-2.6016,-5.0082,-15.0431,2021-12-18 13:54:11,2
"94",3.6637,9.1385,-1.2222,2021-12-18 13:54:12,2
"95",-5.7234,-3.0842,-0.0478,2021-12-18 13:54:13,2
"96",-6.2305,-5.6178,4.1364,2021-12-18 13:54:14,2
"97",-3.0877,-1.7739,5.9258,2021-12-18 13:54:15,2
"98",15.061,34.0132,58.9079,2021-12-18 13:54:16,2
"99",0.0434,-5.7711,1.6359,2021-12-18 13:54:17,2
"100",-1.9354,-14.4341,-3.8194,2021-12-18 13:54:18,2
"101",-1.811,-9.7309,-0.9937,2021-12-18 13:54:19,2
"102",2.5113,1.7162,-11.4926,2021-12-18 13:54:20,2
"103",4.0696,19.3341,5.3835,2021-12-18 13:54:21,2
"104",-3.4748,-4.0796,-0.0829,2021-12-18 13:54:22,2
"105",5.5723,-1.7189,-4.7453,2021-12-18 13:54:23,2
"106",3.7592,-5.2591,-8.0145,2021-12-18 13:54:24,2
"107",4.04,-1.2689,0.418,2021-12-18 13:54:25,2
"108",-1.8604,7.9092,-1.3931,2021-12-18 13:54:26,2
"109",-6.1767,-4.0908,-3.015,2021-12-18 13:54:27,2
"110",2.0736,-0.2334,-11.9111,2021-12-18 13:54:28,2
"111",-3.7012,-4.5383,7.2587,2021-12-18 13:54:29,2
"112",-0.638,-9.0826,2.0003,2021-12-18 13:54:30,2
"113",-6.0935,-0.541,0.468,2021-12-18 13:54:31,2
"114",0.2357,-6.9659,-1.8118,2021-12-18 13:54:32,2
"115",-1.2495,1.944,5.3356,2021-12-18 13:54:33,2
"116",-1.8336,0.0383999999999998,2.621,2021-12-18 13:54:34,2
"117",-7.7295,-8.8352,-15.0369,2021-12-18 13:54:35,2
"118",-5.826,18.1578,-3.051,2021-12-18 13:54:36,2
"119",2.106,-2.5547,2.7744,2021-12-18 13:54:37,2
"120",-67.167,-46.4832,12.3221,2021-12-18 13:54:38,2
"121",-2.8371,18.0296,6.7139,2021-12-18 13:54:39,2
"122",-0.8823,0.5618,-5.2814,2021-12-18 13:54:40,2
"123",-8.1565,-25.4872,1.1783,2021-12-18 13:54:41,2
"124",-6.8979,-3.172,10.2696,2021-12-18 13:54:42,2
"125",-0.7601,2.3824,-3.7077,2021-12-18 13:54:43,2
"126",-7.727,6.757,-16.1177,2021-12-18 13:54:44,2
"127",-16.8352,-7.0328,-31.5236,2021-12-18 13:54:45,2
"128",-0.4872,6.1823,4.6073,2021-12-18 13:54:46,2
"129",-5.9358,-2.6567,-4.3909,2021-12-18 13:54:47,2
"130",4.3372,4.5262,-8.8045,2021-12-18 13:54:48,2
"131",-0.7192,0.9977,-4.352,2021-12-18 13:54:49,2
"132",2.4552,9.6839,-10.3621,2021-12-18 13:54:50,2
"133",-1.4178,8.833,4.6982,2021-12-18 13:54:51,2
"134",17.0047,12.9864,-3.5438,2021-12-18 13:54:52,2
"135",-2.4589,4.5074,5.1471,2021-12-18 13:54:53,2
"136",1.883,-0.6137,3.975,2021-12-18 13:54:54,2
"137",35.2613,12.4412,-36.4534,2021-12-18 13:54:55,2
"138",0.1256,-0.3963,2.342,2021-12-18 13:54:56,2
"139",35.2618,-0.020999999999999,-43.4895,2021-12-18 13:54:57,2
"140",-5.7695,-3.3235,5.29,2021-12-18 13:54:58,2
"141",-4.656,-44.6445,34.0289,2021-12-18 13:54:59,2
"142",-1.7737,6.4192,-1.223,2021-12-18 13:55:00,2
"143",0.8545,0.9045,-0.5237,2021-12-18 13:55:01,2
"144",-5.0114,-13.2506,13.021,2021-12-18 13:55:02,2
"145",-1.3793,-2.8463,7.9965,2021-12-18 13:55:03,2
"146",-3.4526,6.7096,-6.8824,2021-12-18 13:55:04,2
"147",-4.1518,-11.3753,6.8389,2021-12-18 13:55:05,2
"148",-7.5097,1.7766,4.5576,2021-12-18 13:55:06,2
"149",4.2614,8.1378,9.9814,2021-12-18 13:55:07,2
"150",7.4305,7.4919,-11.9363,2021-12-18 13:55:08,2
"151",-5.1815,-1.8771,2.8855,2021-12-18 13:55:09,2
"152",-5.932,-7.5568,-2.451,2021-12-18 13:55:10,2
"153",-0.9972,-1.6648,-0.4532,2021-12-18 13:55:11,2
