sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.108;6.048;8.949;1.0472;6.0482;7.6481;-0.7625;-0.2507;-3.1579;-26.64;-18.71;-23.89;85.49;-38.71;-6.18;5.0;;;;NaN;;;;0 / 0;30;2022-01-06 16:19:12:643
-0.21;7.4891;11.0531;1.0983;6.2515;7.4755;2.5377;-3.4968;-0.4214;-21.3;-22.2;-26.1;89.37;-37.52;-11.13;5.0;;;;NaN;;;;0 / 0;529;2022-01-06 16:19:13:142
2.132;4.119;13.22;0.1654;5.8669;7.8564;1.6323;-0.9756;-4.5317;-19.56;-23.4;-28.99;92.06;-36.71;-2.09;5.0;;;;NaN;;;;0 / 0;1030;2022-01-06 16:19:13:643
-3.403;7.889;8.478;-0.9711;4.2494;8.7847;3.5658;-2.2596;-3.4562;-7.69;-29.64;-29.7;142.19;-25.68;6.31;5.0;;;;NaN;;;;0 / 0;1529;2022-01-06 16:19:14:142
-6.374;5.531;12.908;-4.443;4.6529;7.4014;2.7552;0.0242;4.7231;-0.71;-27.6;-34.44;119.85;-29.19;30.55;5.0;;;;NaN;;;;0 / 0;2029;2022-01-06 16:19:14:642
0.311;-0.483;11.0441;-2.4438;2.1767;9.2445;-2.2294;2.4959;-4.8886;-17.34;-8.7;-40.01;89.15;-16.04;17.93;5.0;;;;NaN;;;;0 / 0;2529;2022-01-06 16:19:15:142
-0.2171;3.521;11.01;-1.8819;2.0379;9.4062;-2.059;-1.4217;0.9752;-17.94;-16.5;-36.54;109.55;-11.99;11.31;5.0;;;;NaN;;;;0 / 0;3030;2022-01-06 16:19:15:643
-1.208;5.9741;6.647;0.5147;4.0657;8.9093;1.6384;-1.7355;2.1897;-12.36;-22.86;-35.89;120.11;-24.49;-3.31;5.0;;;;NaN;;;;0 / 0;3529;2022-01-06 16:19:16:142
-0.684;6.096;7.568;-0.5679;5.1741;8.3112;-0.4045;-0.8461;1.215;-8.59;-28.09;-32.34;124.83;-31.03;4.22;5.0;;;;NaN;;;;0 / 0;4029;2022-01-06 16:19:16:642
-1.548;5.7161;5.313;-0.5468;5.5712;8.0519;0.6593;1.0423;1.704;-9.41;-32.21;-29.04;133.12;-34.29;4.55;5.0;;;;NaN;;;;0 / 0;4529;2022-01-06 16:19:17:142
-1.4839;5.7041;6.893;-1.7318;5.5344;7.9083;-1.0014;0.2666;2.6241;-11.59;-34.69;-31.56;124.75;-33.92;13.3;5.0;;;;NaN;;;;0 / 0;5029;2022-01-06 16:19:17:642
0.3971;4.5911;6.24;-0.6624;5.9295;7.7828;0.686;1.8843;3.4516;-10.99;-34.69;-30.66;125.7;-37.2;4.86;5.0;;;;NaN;;;;0 / 0;5529;2022-01-06 16:19:18:142
-0.928;4.43;7.145;-1.8889;4.0445;8.7318;-0.9764;0.0946;2.6026;-8.46;-31.09;-34.14;134.0;-25.53;11.93;5.0;;;;NaN;;;;0 / 0;6030;2022-01-06 16:19:18:643
-2.4431;1.5791;8.322;-0.9472;4.2449;8.7894;0.837;2.2155;1.7477;-9.9;-29.81;-34.91;127.65;-28.04;6.33;5.0;;;;NaN;;;;0 / 0;6530;2022-01-06 16:19:19:143
-3.3821;1.2611;8.1161;-2.8981;2.8553;8.9229;0.4197;1.5048;0.8298;-4.2;-26.81;-37.8;139.1;-18.46;16.62;5.0;;;;NaN;;;;0 / 0;7029;2022-01-06 16:19:19:642
-0.653;4.638;3.848;-1.5185;3.752;8.9324;-2.3971;-0.4591;-0.7285;-16.69;-30.3;-30.3;128.88;-21.0;13.49;5.0;;;;NaN;;;;0 / 0;7529;2022-01-06 16:19:20:142
-1.148;4.5161;6.948;-2.0713;5.2469;8.0219;-1.7666;0.7212;1.8305;-15.06;-34.31;-26.7;128.2;-32.35;14.48;5.0;;;;NaN;;;;0 / 0;8029;2022-01-06 16:19:20:642
0.548;3.3551;6.261;-0.9158;5.9798;7.7184;-0.8323;1.5858;5.0432;-16.14;-31.39;-30.06;113.99;-39.29;9.91;5.0;;;;NaN;;;;0 / 0;8530;2022-01-06 16:19:21:143
-1.902;1.8071;8.033;-2.625;3.0491;8.9433;1.2978;0.8042;0.1743;-12.49;-27.24;-35.21;127.28;-18.11;16.36;5.0;;;;NaN;;;;0 / 0;9029;2022-01-06 16:19:21:642
0.969;2.441;8.808;-0.7162;4.4943;8.6867;-2.0919;1.6613;0.6779;-22.31;-25.2;-31.74;109.02;-27.31;6.91;5.0;;;;NaN;;;;0 / 0;9529;2022-01-06 16:19:22:142
-1.388;1.7711;8.633;-1.4373;3.6374;8.993;-0.5383;1.7986;-0.5549;-17.46;-19.26;-37.74;98.29;-23.68;7.78;5.0;;;;NaN;;;;0 / 0;10030;2022-01-06 16:19:22:643
0.828;0.864;14.306;-0.8913;3.716;9.0315;-1.0275;3.4436;-9.0291;-22.31;-18.49;-35.21;100.93;-21.45;7.21;5.0;;;;NaN;;;;0 / 0;10530;2022-01-06 16:19:23:143
0.287;4.442;7.781;-0.3063;4.2468;8.8341;-0.6091;-0.1624;1.0413;-21.41;-21.06;-34.91;105.81;-22.97;0.38;5.0;;;;NaN;;;;0 / 0;11029;2022-01-06 16:19:23:642
2.396;5.766;11.7641;0.9094;5.0265;8.3712;0.4327;-0.1901;-2.5659;-23.04;-25.8;-28.99;109.21;-26.78;-4.13;5.0;;;;NaN;;;;0 / 0;11529;2022-01-06 16:19:24:142
-0.299;4.449;18.749;0.5708;5.5504;8.0646;1.572;0.1128;-2.4743;-18.49;-30.54;-28.2;118.96;-32.77;-8.64;5.0;;;;NaN;;;;0 / 0;12029;2022-01-06 16:19:24:642
1.955;6.209;10.929;0.3831;4.3442;8.7836;-1.5646;-1.8531;-2.1399;-19.31;-27.79;-31.86;120.43;-24.59;0.41;5.0;;;;NaN;;;;0 / 0;12530;2022-01-06 16:19:25:143
-2.154;5.184;6.893;0.5384;4.713;8.583;1.443;-0.4826;-2.4161;-14.94;-31.91;-30.54;134.36;-28.72;-3.59;5.0;;;;NaN;;;;0 / 0;13029;2022-01-06 16:19:25:642
-0.004;3.93;11.2901;0.1387;3.369;9.2087;-0.3771;-0.9329;-1.4361;-18.54;-26.59;-34.44;126.36;-19.18;1.06;5.0;;;;NaN;;;;0 / 0;13529;2022-01-06 16:19:26:142
0.4571;3.597;12.4781;0.1322;2.9074;9.3648;-0.2644;-0.7083;-2.6072;-14.81;-28.44;-34.5;138.83;-17.25;-0.81;5.0;;;;NaN;;;;0 / 0;14029;2022-01-06 16:19:26:642
3.231;4.217;8.648;0.8845;2.4473;9.4551;-1.8492;-1.8343;1.5023;-21.96;-26.89;-30.19;134.08;-12.52;-3.31;5.0;;;;NaN;;;;0 / 0;14529;2022-01-06 16:19:27:142
1.737;3.339;10.134;1.9253;3.3983;8.9953;0.7744;-0.5818;2.1736;-19.31;-28.44;-29.81;140.12;-20.28;-12.08;5.0;;;;NaN;;;;0 / 0;15030;2022-01-06 16:19:27:643
1.716;5.136;9.1721;0.9919;2.7831;9.351;-0.3838;-1.7252;1.2877;-17.76;-27.36;-31.69;141.42;-15.7;-8.03;5.0;;;;NaN;;;;0 / 0;15529;2022-01-06 16:19:28:142
0.902;4.557;6.833;1.3616;3.2542;9.1502;0.6449;-0.2265;3.326;-12.79;-32.04;-27.24;157.78;-19.17;-9.25;5.0;;;;NaN;;;;0 / 0;16030;2022-01-06 16:19:28:643
-0.318;3.765;7.7381;-0.3066;3.8759;9.003;-0.3933;0.5922;3.4418;-7.31;-31.86;-26.64;156.59;-24.63;1.62;5.0;;;;NaN;;;;0 / 0;16529;2022-01-06 16:19:29:142
1.364;2.913;7.01;0.8142;3.7812;9.0117;-0.2299;1.7631;-1.5284;-9.71;-31.61;-24.66;156.36;-25.09;-4.72;5.0;;;;NaN;;;;0 / 0;17029;2022-01-06 16:19:29:642
0.404;3.068;8.325;0.128;3.1294;9.2931;-0.2669;0.0648;0.971;-23.21;-32.51;-16.31;138.85;-18.61;-0.79;5.0;;;;NaN;;;;0 / 0;17529;2022-01-06 16:19:30:142
1.407;3.509;6.3551;0.3863;3.3574;9.2059;-0.6235;0.1062;2.816;-26.59;-21.0;-21.06;115.31;-19.7;-3.24;5.0;;;;NaN;;;;0 / 0;18030;2022-01-06 16:19:30:643
-2.0651;3.492;8.856;0.8827;4.2197;8.8082;2.2907;-0.3151;3.7699;-29.94;-16.61;-27.3;89.87;-26.73;-7.71;5.0;;;;NaN;;;;0 / 0;18529;2022-01-06 16:19:31:142
-0.4519;3.36;6.084;0.0216;5.2181;8.3031;0.9368;1.4816;1.8699;-27.36;-19.69;-27.96;93.01;-33.15;-0.08;5.0;;;;NaN;;;;0 / 0;19029;2022-01-06 16:19:31:642
-2.355;4.203;4.2341;-0.4877;5.4161;8.1608;2.2636;1.1121;3.094;-24.36;-24.41;-30.54;97.74;-33.24;1.14;5.0;;;;NaN;;;;0 / 0;19530;2022-01-06 16:19:32:143
1.263;5.177;9.1031;0.0899;5.8328;7.883;0.0218;0.8614;0.1738;-27.96;-22.44;-30.66;92.9;-36.65;3.19;5.0;;;;NaN;;;;0 / 0;20029;2022-01-06 16:19:32:642
-1.074;4.389;6.9;0.1836;5.9285;7.8095;0.9689;1.2642;-3.7864;-25.61;-28.14;-27.6;100.44;-37.05;-4.05;5.0;;;;NaN;;;;0 / 0;20530;2022-01-06 16:19:33:143
0.921;6.3431;12.389;0.2313;6.0892;7.6836;-0.764;0.4104;-4.0609;-30.3;-24.6;-27.36;97.43;-36.93;0.58;5.0;;;;NaN;;;;0 / 0;21029;2022-01-06 16:19:33:642
-1.8139;4.5161;13.689;0.8267;6.1046;7.6302;1.01;-1.0456;-3.8754;-27.0;-25.99;-28.44;95.47;-36.3;-7.76;5.0;;;;NaN;;;;0 / 0;21529;2022-01-06 16:19:34:142
2.202;7.152;9.653;-0.5779;5.2762;8.2461;-1.9991;-1.6125;-1.3215;-27.36;-22.31;-31.8;96.93;-31.15;5.24;5.0;;;;NaN;;;;0 / 0;22029;2022-01-06 16:19:34:642
-0.318;7.568;9.399;0.5942;4.6614;8.6075;2.0652;-2.067;-0.954;-24.9;-23.21;-33.06;95.58;-27.16;-4.56;5.0;;;;NaN;;;;0 / 0;22529;2022-01-06 16:19:35:142
-0.114;6.752;10.0361;0.0453;4.9432;8.4696;0.0317;-1.4856;-2.74;-28.44;-19.61;-32.21;97.23;-27.38;3.12;5.0;;;;NaN;;;;0 / 0;23029;2022-01-06 16:19:35:642
-0.023;6.8171;8.799;0.8391;4.4748;8.6857;0.628;-1.2361;1.7167;-26.4;-22.5;-30.3;97.42;-27.51;-6.04;5.0;;;;NaN;;;;0 / 0;23530;2022-01-06 16:19:36:143
1.4501;5.864;8.0351;0.2145;4.9164;8.4825;-0.4839;0.0648;1.8889;-27.49;-21.54;-29.46;99.0;-30.09;-1.45;5.0;;;;NaN;;;;0 / 0;24030;2022-01-06 16:19:36:643
1.1321;4.8941;7.985;1.4805;4.7673;8.441;0.4287;0.9987;1.289;-27.66;-19.2;-31.61;86.86;-31.59;-8.8;5.0;;;;NaN;;;;0 / 0;24530;2022-01-06 16:19:37:143
0.423;2.9531;7.353;-0.8626;3.1469;9.2479;-0.7517;0.741;3.0834;-26.81;-15.0;-37.01;88.97;-25.31;2.2;5.0;;;;NaN;;;;0 / 0;25029;2022-01-06 16:19:37:642
0.497;3.509;5.78;0.7793;3.3618;9.1794;0.2808;0.3706;2.915;-29.64;-17.64;-33.79;98.38;-20.77;-4.03;5.0;;;;NaN;;;;0 / 0;25530;2022-01-06 16:19:38:143
0.0041;2.898;7.3121;-0.6101;3.8783;8.9865;0.1935;2.0804;1.291;-27.49;-18.3;-35.46;96.71;-23.3;3.88;5.0;;;;NaN;;;;0 / 0;26029;2022-01-06 16:19:38:642
0.0281;2.613;6.185;0.5992;4.0996;8.8884;-0.45;1.4003;0.422;-29.51;-18.54;-33.0;93.88;-26.08;-2.86;5.0;;;;NaN;;;;0 / 0;26529;2022-01-06 16:19:39:142
0.2081;2.5181;8.5901;-0.4366;3.9209;8.9781;-0.7176;1.327;0.4311;-26.21;-19.5;-35.34;95.79;-24.94;1.25;5.0;;;;NaN;;;;0 / 0;27030;2022-01-06 16:19:39:643
1.6181;2.8841;7.568;-0.3861;2.7903;9.3934;-1.5624;0.3787;1.977;-27.9;-16.8;-36.24;95.12;-18.42;2.06;5.0;;;;NaN;;;;0 / 0;27529;2022-01-06 16:19:40:142
-0.8111;2.865;7.6781;-0.0471;3.9584;8.9721;2.3365;0.1992;0.5411;-25.14;-23.46;-30.54;111.3;-23.39;-0.78;5.0;;;;NaN;;;;0 / 0;28029;2022-01-06 16:19:40:642
0.438;4.674;11.1971;0.2613;4.5782;8.6684;-2.5989;-0.6384;-4.3799;-28.8;-18.84;-25.74;99.66;-27.5;0.54;5.0;;;;NaN;;;;0 / 0;28530;2022-01-06 16:19:41:143
-2.673;3.638;8.9591;0.2557;4.7708;8.5641;0.0346;1.4478;-9.145;-24.54;-15.66;-28.39;89.59;-28.71;-3.7;5.0;;;;NaN;;;;0 / 0;29029;2022-01-06 16:19:41:642
1.1921;4.631;12.344;-0.1129;4.8824;8.5041;-1.2978;0.2514;-3.8359;-34.31;-9.54;-31.09;81.15;-28.73;2.25;5.0;;;;NaN;;;;0 / 0;29529;2022-01-06 16:19:42:142
0.5981;5.852;14.495;0.4236;4.9234;8.4706;-0.1165;-0.9625;-5.9991;-39.49;-18.41;-36.6;84.02;-27.22;-4.85;5.0;;;;NaN;;;;0 / 0;30029;2022-01-06 16:19:42:642
0.938;8.5301;12.2501;-0.2782;4.7683;8.5648;-1.1335;-3.5859;-3.776;-46.01;-24.54;-36.71;96.27;-26.12;3.31;5.0;;;;NaN;;;;0 / 0;30529;2022-01-06 16:19:43:142
0.404;5.55;11.202;0.8483;4.9071;8.4481;0.8197;-1.5623;-0.3851;-40.09;-33.19;-30.19;106.24;-28.13;-5.68;5.0;;;;NaN;;;;0 / 0;31029;2022-01-06 16:19:43:642
0.45;5.5361;9.8681;0.1002;4.4042;8.7615;-0.6856;-1.6274;1.0699;-31.2;-27.79;-25.86;114.63;-23.9;0.84;5.0;;;;NaN;;;;0 / 0;31530;2022-01-06 16:19:44:143
-0.035;5.4641;9.2771;0.9606;4.0045;8.9001;1.2058;-1.5799;-0.103;-23.21;-24.49;-25.39;119.66;-23.02;-6.81;5.0;;;;NaN;;;;0 / 0;32029;2022-01-06 16:19:44:642
-0.806;4.4951;9.134;-0.5897;3.6901;9.0667;-1.3786;-0.2478;3.6539;-22.09;-17.89;-28.56;105.22;-21.87;4.68;5.0;;;;NaN;;;;0 / 0;32529;2022-01-06 16:19:45:142
0.2081;3.245;6.06;0.6418;3.1235;9.2737;1.4999;0.8625;2.1503;-22.99;-15.71;-30.0;100.87;-20.42;-3.54;5.0;;;;NaN;;;;0 / 0;33029;2022-01-06 16:19:45:642
0.548;2.913;6.857;-1.0679;2.2386;9.4878;-2.3755;-1.1665;3.7673;-26.94;-13.74;-31.39;103.52;-13.2;6.42;5.0;;;;NaN;;;;0 / 0;33530;2022-01-06 16:19:46:143
-0.0311;1.6271;7.415;1.0208;2.7397;9.3607;1.0282;1.0904;1.9617;-27.11;-14.46;-30.49;100.32;-16.22;-6.22;5.0;;;;NaN;;;;0 / 0;34029;2022-01-06 16:19:46:642
-0.019;1.3421;6.999;-0.4653;2.4139;9.4935;-0.4994;1.0684;1.5976;-21.06;-13.69;-34.26;98.36;-17.58;0.41;5.0;;;;NaN;;;;0 / 0;34530;2022-01-06 16:19:47:143
0.459;1.268;6.75;0.6705;2.2718;9.5163;-0.524;0.8888;3.655;-24.3;-13.99;-32.7;102.48;-14.55;-1.93;5.0;;;;NaN;;;;0 / 0;35029;2022-01-06 16:19:47:642
-0.414;1.065;7.784;-0.6576;2.0371;9.5702;-0.249;0.9747;1.7929;-26.81;-11.76;-36.6;98.6;-11.99;3.93;5.0;;;;NaN;;;;0 / 0;35530;2022-01-06 16:19:48:143
-0.081;2.027;6.807;0.2889;2.3538;9.5156;-0.6891;-0.3746;3.4365;-34.26;-11.76;-33.96;95.62;-13.89;-1.74;5.0;;;;NaN;;;;0 / 0;36030;2022-01-06 16:19:48:643
-0.402;2.3291;8.198;-0.2548;3.1701;9.2767;0.004;0.446;1.8263;-37.61;-16.09;-36.96;94.45;-19.36;0.77;5.0;;;;NaN;;;;0 / 0;36529;2022-01-06 16:19:49:142
2.628;1.242;9.191;0.1163;2.4739;9.4888;-2.349;1.4387;0.5947;-44.94;-23.94;-36.41;106.33;-15.94;-0.02;5.0;;;;NaN;;;;0 / 0;37029;2022-01-06 16:19:49:642
-0.306;1.134;9.198;-0.1182;2.5031;9.4811;0.1427;1.3147;0.3019;-26.29;-42.11;-26.46;139.05;-15.32;-0.1;5.0;;;;NaN;;;;0 / 0;37529;2022-01-06 16:19:50:142
0.83;1.1531;9.701;0.4899;2.5599;9.454;-1.6978;-2.1774;1.9885;-11.34;-39.84;-10.26;163.88;-13.45;-2.56;5.0;;;;NaN;;;;0 / 0;38030;2022-01-06 16:19:50:643
-0.5689;-0.153;16.4171;0.0768;1.5005;9.6909;1.7329;-0.1184;-0.4145;11.89;-22.14;-10.91;211.63;-9.43;-1.53;5.0;;;;NaN;;;;0 / 0;38529;2022-01-06 16:19:51:142
0.921;2.5871;8.8541;-0.1693;1.3454;9.7125;-1.0445;-1.175;0.8522;7.5;-1.61;-17.04;269.32;-6.33;1.73;5.0;;;;NaN;;;;0 / 0;39029;2022-01-06 16:19:51:642
0.749;3.161;11.5031;0.302;1.3665;9.7063;1.2695;-2.0465;-0.1938;-12.49;4.44;-29.46;54.02;-8.01;-1.78;5.0;;;;NaN;;;;0 / 0;39530;2022-01-06 16:19:52:143
3.1061;-0.629;12.645;0.4211;1.0858;9.7373;-3.4033;1.2571;-5.7749;-29.34;5.16;-28.74;73.3;-6.36;-2.48;5.0;;;;NaN;;;;0 / 0;40029;2022-01-06 16:19:52:642
1.364;0.8921;17.7221;1.9971;0.5955;9.5827;1.2273;-2.2338;-4.1571;-33.06;-4.44;-30.9;97.51;-1.07;-13.24;5.0;;;;NaN;;;;0 / 0;40529;2022-01-06 16:19:53:142
0.584;3.7721;9.809;0.6397;2.2046;9.5342;0.1097;-1.739;-0.2346;-29.59;-16.56;-31.39;117.64;-5.77;-5.62;5.0;;;;NaN;;;;0 / 0;41030;2022-01-06 16:19:53:643
1.2491;1.029;12.054;0.9207;2.2205;9.5075;0.3386;-0.3065;1.7264;-31.56;-12.54;-32.04;99.38;-13.09;-5.53;5.0;;;;NaN;;;;0 / 0;41529;2022-01-06 16:19:54:142
3.3461;1.524;10.158;1.6357;0.2059;9.6671;-0.2212;-0.5943;1.9944;-36.19;-3.9;-30.11;96.09;-1.2;-9.6;5.0;;;;NaN;;;;0 / 0;42029;2022-01-06 16:19:54:642
1.0001;0.9281;10.632;1.4673;0.3242;9.6908;0.5979;-0.5958;-0.953;-28.5;-8.04;-35.89;111.41;-3.24;-14.17;5.0;;;;NaN;;;;0 / 0;42529;2022-01-06 16:19:55:142
1.505;2.549;7.566;-0.0398;-0.1743;9.805;-0.9387;-2.7621;2.559;-29.51;-8.21;-36.06;106.35;1.77;1.55;5.0;;;;NaN;;;;0 / 0;43029;2022-01-06 16:19:55:642
-0.198;1.7441;6.3881;0.903;0.391;9.7572;1.5332;-1.6939;4.2367;-25.74;-12.06;-37.5;111.86;-2.32;-5.36;5.0;;;;NaN;;;;0 / 0;43529;2022-01-06 16:19:56:142
0.1241;1.608;7.5371;-1.0402;1.4677;9.6402;-1.1612;-0.1372;2.108;-21.54;-16.09;-36.66;112.43;-8.61;6.16;5.0;;;;NaN;;;;0 / 0;44029;2022-01-06 16:19:56:642
-0.5621;1.7111;5.931;-0.0716;0.9994;9.7553;1.3642;-0.2404;3.8342;-20.46;-16.31;-34.5;121.19;-6.41;-0.01;5.0;;;;NaN;;;;0 / 0;44529;2022-01-06 16:19:57:142
-1.8949;0.303;6.089;-0.3883;1.5592;9.6741;1.485;1.3088;3.5769;-16.56;-13.09;-35.16;107.85;-11.29;3.18;5.0;;;;NaN;;;;0 / 0;45029;2022-01-06 16:19:57:642
-0.701;1.163;7.8671;0.0132;1.5195;9.6882;-1.1625;-0.4268;3.9335;-19.74;-9.66;-34.91;102.58;-8.91;-0.08;5.0;;;;NaN;;;;0 / 0;45530;2022-01-06 16:19:58:143
-1.0001;1.0361;7.9781;-0.3373;1.5488;9.6777;0.5889;0.432;1.4374;-21.06;-6.96;-36.9;93.05;-9.09;2.0;5.0;;;;NaN;;;;0 / 0;46029;2022-01-06 16:19:58:642
0.555;1.4621;8.0351;0.1914;1.5941;9.6743;-1.2501;-0.3168;0.6315;-24.11;-6.96;-36.66;91.24;-10.25;0.92;5.0;;;;NaN;;;;0 / 0;46530;2022-01-06 16:19:59:143
0.6461;1.7591;9.119;-0.6975;1.9754;9.5803;1.0978;0.4897;1.3021;-23.76;-8.94;-38.04;92.08;-12.38;3.29;5.0;;;;NaN;;;;0 / 0;47030;2022-01-06 16:19:59:643
-1.314;-1.014;10.383;0.111;2.0844;9.5819;0.1104;2.4327;0.7749;-25.99;-10.09;-36.24;93.74;-12.88;-0.42;5.0;;;;NaN;;;;0 / 0;47529;2022-01-06 16:20:00:142
-3.066;0.519;4.7651;0.3054;2.0085;9.5939;0.08;1.9094;-7.3545;-25.09;-11.46;-37.2;95.65;-12.78;-2.53;5.0;;;;NaN;;;;0 / 0;48029;2022-01-06 16:20:00:642
1.8191;0.8591;11.0891;0.064;1.9301;9.6146;-2.2106;0.5544;0.3936;-27.3;-9.79;-36.66;95.31;-11.35;-0.38;5.0;;;;NaN;;;;0 / 0;48529;2022-01-06 16:20:01:142
-0.852;2.6111;10.685;0.0199;1.8161;9.637;0.7857;-0.752;-1.0479;-23.51;-11.7;-38.51;100.8;-10.67;-0.12;5.0;;;;NaN;;;;0 / 0;49030;2022-01-06 16:20:01:643
2.1971;2.367;9.395;-0.2909;2.0664;9.5821;-0.413;0.747;-4.9856;-26.76;-9.24;-37.69;95.67;-9.5;4.24;5.0;;;;NaN;;;;0 / 0;49530;2022-01-06 16:20:02:143
-1.6871;2.2691;13.878;-0.4662;1.6157;9.6614;1.2661;-0.6905;-4.1941;-21.84;-11.21;-39.79;100.53;-9.48;2.76;5.0;;;;NaN;;;;0 / 0;50029;2022-01-06 16:20:02:642
-2.501;1.752;13.418;-1.3291;1.7841;9.551;0.7427;-0.3003;-2.3454;-21.96;-10.01;-39.96;98.28;-9.28;7.82;5.0;;;;NaN;;;;0 / 0;50529;2022-01-06 16:20:03:142
-1.098;2.568;12.884;-0.5151;1.8705;9.6128;0.5745;-0.6902;-3.2584;-22.31;-9.96;-40.14;98.46;-9.36;2.31;5.0;;;;NaN;;;;0 / 0;51030;2022-01-06 16:20:03:643
0.078;3.018;13.7081;-1.0812;1.6554;9.6053;-1.1105;-1.6175;-2.5693;-23.51;-9.0;-39.49;97.62;-8.09;7.64;5.0;;;;NaN;;;;0 / 0;51530;2022-01-06 16:20:04:143
-0.1;3.288;9.4571;0.0792;1.543;9.6842;0.4773;-1.2289;-2.2389;-22.09;-10.26;-40.26;99.31;-9.05;-0.47;5.0;;;;NaN;;;;0 / 0;52029;2022-01-06 16:20:04:642
1.127;4.2341;10.376;-1.081;1.3819;9.6484;-0.3562;-0.5415;2.7849;-22.56;-9.24;-39.96;97.65;-8.1;6.39;5.0;;;;NaN;;;;0 / 0;52529;2022-01-06 16:20:05:142
-0.057;2.898;7.259;0.2707;1.4319;9.6978;0.2673;-1.2752;3.2705;-23.76;-11.51;-38.1;104.02;-8.2;1.15;5.0;;;;NaN;;;;0 / 0;53029;2022-01-06 16:20:05:642
-0.0551;3.284;7.02;-1.0375;1.7986;9.5843;-1.0103;-0.6122;2.2838;-22.39;-13.01;-38.1;103.05;-10.98;6.08;5.0;;;;NaN;;;;0 / 0;53529;2022-01-06 16:20:06:142
-0.6191;1.9001;7.602;0.0303;1.6768;9.6622;1.2488;0.2372;3.0283;-24.41;-12.9;-37.26;101.89;-11.58;0.89;5.0;;;;NaN;;;;0 / 0;54029;2022-01-06 16:20:06:642
-0.174;1.689;5.5481;-0.8912;1.9408;9.5713;-0.6772;0.5383;3.5896;-23.04;-11.89;-38.7;98.87;-13.76;4.02;5.0;;;;NaN;;;;0 / 0;54530;2022-01-06 16:20:07:143
-0.696;1.74;6.185;-0.0812;1.9928;9.6017;-1.1143;0.0104;2.5166;-24.54;-12.24;-37.69;99.13;-11.72;0.48;5.0;;;;NaN;;;;0 / 0;55029;2022-01-06 16:20:07:642
-0.768;0.818;5.522;-1.0612;2.1229;9.5151;-0.4303;1.3951;1.2639;-21.24;-14.1;-38.51;100.51;-14.18;4.68;5.0;;;;NaN;;;;0 / 0;55529;2022-01-06 16:20:08:142
0.404;1.9601;8.609;-0.3017;2.0774;9.5793;-2.2445;-0.024;2.2519;-24.24;-11.94;-38.7;98.19;-12.23;1.8;5.0;;;;NaN;;;;0 / 0;56029;2022-01-06 16:20:08:642
0.294;1.589;6.113;-1.1471;2.496;9.4141;-0.3721;0.8585;0.7663;-22.8;-14.29;-38.21;99.15;-16.46;4.81;5.0;;;;NaN;;;;0 / 0;56529;2022-01-06 16:20:09:142
2.151;2.3861;6.848;-0.2068;2.6217;9.4475;0.0682;2.6091;-0.5469;-26.89;-13.61;-35.7;94.34;-17.24;3.11;5.0;;;;NaN;;;;0 / 0;57030;2022-01-06 16:20:09:643
0.203;1.7591;8.9111;-0.3761;2.8894;9.3638;1.3537;1.5001;0.7012;-23.51;-14.59;-38.16;95.87;-18.16;0.92;5.0;;;;NaN;;;;0 / 0;57529;2022-01-06 16:20:10:142
-0.643;-1.1771;12.5591;-0.1151;3.0048;9.3343;-1.0617;3.6501;-5.3142;-27.71;-13.44;-35.64;92.92;-17.84;0.71;5.0;;;;NaN;;;;0 / 0;58029;2022-01-06 16:20:10:642
-0.136;2.903;14.2301;0.7816;3.2487;9.2198;0.8864;0.3735;-5.0075;-27.36;-17.59;-34.14;101.76;-19.35;-4.85;5.0;;;;NaN;;;;0 / 0;58529;2022-01-06 16:20:11:142
2.592;2.81;9.4781;0.7187;3.0889;9.2797;-1.7982;0.2752;-0.1896;-30.96;-12.71;-33.71;92.6;-18.1;-2.88;5.0;;;;NaN;;;;0 / 0;59030;2022-01-06 16:20:11:643
0.327;3.8051;14.033;0.5228;2.8677;9.3634;0.168;-0.5722;-4.0524;-28.31;-15.06;-34.86;99.41;-16.03;-4.58;5.0;;;;NaN;;;;0 / 0;59529;2022-01-06 16:20:12:142
0.512;2.8841;14.3831;0.0824;2.7325;9.4179;-0.4215;-0.1414;-4.9516;-30.0;-12.19;-34.86;95.16;-14.83;0.9;5.0;;;;NaN;;;;0 / 0;60029;2022-01-06 16:20:12:642
-0.768;3.264;12.566;0.2557;2.4461;9.4932;1.0184;-0.8091;-3.0647;-25.26;-13.39;-37.14;98.65;-11.93;-4.41;5.0;;;;NaN;;;;0 / 0;60529;2022-01-06 16:20:13:142
