sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.969;6.213;7.8701;-2.6425;6.7328;6.6224;-0.6287;0.4915;-1.1851;-8.22;-35.78;-11.51;137.0;7.69;-11.29;-30.79;16.38;-43.36;21.75;5.0;;;;NaN;;;;0 / 0;36;2021-12-24 16:29:14:108
-2.1469;2.099;8.159;-1.6971;5.2455;8.1102;0.481;3.1017;-0.0105;-18.47;-7.41;10.31;246.0;6.11;-1.2;-27.79;1.01;-33.1;12.61;5.0;;;;NaN;;;;0 / 0;536;2021-12-24 16:29:14:608
0.203;4.638;8.444;-0.342;3.618;9.1084;-0.4201;-0.4115;0.1205;-6.33;4.49;18.85;153.0;7.5;0.41;-29.04;328.62;-22.31;2.38;5.0;;;;NaN;;;;0 / 0;1036;2021-12-24 16:29:15:108
-0.895;4.619;8.6;-0.2151;4.4465;8.738;0.4374;-0.0666;-0.1795;1.66;5.95;-7.96;179.0;9.24;-2.51;-29.34;326.08;-26.64;0.28;5.0;;;;NaN;;;;0 / 0;1536;2021-12-24 16:29:15:608
-0.701;4.0931;9.174;-0.7961;4.1375;8.8554;0.0808;0.3366;-0.1589;-8.07;13.65;29.55;154.0;12.84;-1.14;-27.71;317.76;-25.3;5.12;5.0;;;;NaN;;;;0 / 0;2035;2021-12-24 16:29:16:107
-0.3109;3.7121;8.9711;-0.4397;3.9734;8.9548;-0.4824;0.2959;-0.1988;-5.04;0.35;16.24;149.0;13.56;-0.71;-26.89;309.98;-24.16;3.23;5.0;;;;NaN;;;;0 / 0;2536;2021-12-24 16:29:16:608
-0.828;4.377;8.1911;-0.5405;4.2384;8.8269;0.2537;-0.0767;0.612;15.41;8.61;1.95;165.0;13.8;-5.76;-28.14;297.66;-24.72;3.03;5.0;;;;NaN;;;;0 / 0;3036;2021-12-24 16:29:17:108
-0.555;3.707;9.5051;-0.7789;4.3334;8.7627;-0.452;0.4107;-1.003;-13.35;4.01;22.45;184.0;14.7;-2.81;-24.96;306.26;-26.86;5.45;5.0;;;;NaN;;;;0 / 0;3536;2021-12-24 16:29:17:608
-0.45;3.8681;9.32;-0.4989;3.9409;8.9661;0.1549;0.1135;-0.0914;0.87;-5.16;-13.4;158.0;13.69;-1.39;-25.14;306.83;-23.69;3.18;5.0;;;;NaN;;;;0 / 0;4036;2021-12-24 16:29:18:108
-0.351;3.767;9.21;-0.4657;3.8949;8.9879;-0.0446;0.2572;0.6929;1.01;-6.29;-3.54;153.0;13.31;-0.84;-26.59;310.96;-23.4;2.97;5.0;;;;NaN;;;;0 / 0;4535;2021-12-24 16:29:18:607
-0.7339;3.872;8.456;-0.3642;3.7362;9.0597;-0.1556;0.0331;-0.7883;-0.42;2.91;3.92;148.0;14.4;-1.69;-26.76;303.72;-22.41;2.21;5.0;;;;NaN;;;;0 / 0;5036;2021-12-24 16:29:19:108
-0.282;4.373;9.395;-0.4176;3.9356;8.9726;0.0864;-0.4093;0.3917;6.26;-5.99;-6.42;149.0;13.44;-1.74;-26.89;308.21;-23.66;2.66;5.0;;;;NaN;;;;0 / 0;5536;2021-12-24 16:29:19:608
-0.129;4.5161;8.471;-0.256;4.3689;8.776;-0.0517;-0.0714;-0.3769;4.62;-2.28;-4.09;159.0;13.61;-1.86;-26.89;307.87;-26.13;1.68;5.0;;;;NaN;;;;0 / 0;6035;2021-12-24 16:29:20:107
-0.244;4.296;8.8781;-0.3466;4.4027;8.756;-0.1179;0.1104;-0.11;-0.91;2.25;2.95;160.0;14.46;-2.59;-28.26;308.18;-26.68;2.27;5.0;;;;NaN;;;;0 / 0;6536;2021-12-24 16:29:20:608
0.258;4.442;9.186;-0.3535;4.4412;8.7362;-0.2548;0.0065;0.1936;1.57;-0.99;-0.3;160.0;13.2;-1.61;-24.96;309.19;-26.93;2.32;5.0;;;;NaN;;;;0 / 0;7036;2021-12-24 16:29:21:108
0.4421;4.667;9.335;-0.0227;4.7345;8.588;-0.3578;0.0796;-0.1323;6.58;-13.18;-9.34;172.0;11.29;-3.71;-30.3;315.19;-28.87;0.15;5.0;;;;NaN;;;;0 / 0;7536;2021-12-24 16:29:21:608
-0.292;4.653;8.303;-0.0495;4.6356;8.6417;0.2365;-0.009;0.3469;-2.34;6.62;0.28;174.0;12.9;-2.04;-28.69;311.13;-28.59;-0.55;5.0;;;;NaN;;;;0 / 0;8036;2021-12-24 16:29:22:108
0.059;2.925;9.9761;-0.0893;4.3043;8.8111;0.5956;0.885;-0.8318;-0.2;-0.78;0.95;162.0;13.5;1.2;-28.56;313.56;-26.14;0.91;5.0;;;;NaN;;;;0 / 0;8536;2021-12-24 16:29:22:608
-0.6191;2.046;9.8951;-0.0558;3.2068;9.2674;0.1894;0.8777;-0.7027;-20.19;-14.05;-26.97;112.0;10.01;9.24;-28.14;330.92;-19.09;0.34;5.0;;;;NaN;;;;0 / 0;9036;2021-12-24 16:29:23:108
-0.557;2.4221;9.191;-0.1776;2.4802;9.4862;0.1061;0.1277;-0.6075;-2.23;1.55;9.71;107.0;12.0;9.06;-26.51;323.74;-14.75;1.12;5.0;;;;NaN;;;;0 / 0;9536;2021-12-24 16:29:23:608
-0.2081;2.441;9.2441;-0.3088;2.5048;9.4763;-0.4233;0.1263;0.0227;1.65;-3.47;-3.86;106.0;11.1;8.76;-27.24;327.22;-14.65;1.97;5.0;;;;NaN;;;;0 / 0;10035;2021-12-24 16:29:24:107
0.107;2.072;10.1441;-0.0676;2.4082;9.5061;-0.1058;0.1868;0.3399;0.17;-3.11;-5.63;106.0;10.61;8.76;-27.71;325.34;-14.22;0.41;5.0;;;;NaN;;;;0 / 0;10536;2021-12-24 16:29:24:608
-0.229;2.1131;9.5501;0.0849;2.2467;9.5454;0.3579;0.0557;0.0246;-0.6;3.55;1.65;106.0;11.04;8.34;-27.19;321.14;-13.24;-0.51;5.0;;;;NaN;;;;0 / 0;11036;2021-12-24 16:29:25:108
-0.165;2.4821;9.627;-0.1553;2.3548;9.5185;0.299;-0.0899;0.3025;2.18;0.81;1.1;106.0;11.76;8.76;-27.6;323.15;-13.72;0.89;5.0;;;;NaN;;;;0 / 0;11536;2021-12-24 16:29:25:608
-0.4519;2.403;9.318;-0.1885;2.4232;9.5007;0.062;0.0734;0.5778;2.16;-2.09;-0.95;106.0;11.94;8.51;-27.6;323.96;-14.16;1.26;5.0;;;;NaN;;;;0 / 0;12035;2021-12-24 16:29:26:107
-0.093;2.441;9.182;-0.1466;2.5554;9.4667;-0.127;0.0315;0.1378;1.62;-2.62;-1.21;106.0;10.91;7.8;-27.54;325.06;-15.0;1.03;5.0;;;;NaN;;;;0 / 0;12536;2021-12-24 16:29:26:608
-0.414;2.3501;10.977;-0.2841;2.5063;9.4767;0.2788;-0.2304;0.2147;-0.34;1.57;0.75;106.0;11.94;8.34;-27.06;322.74;-14.91;1.63;5.0;;;;NaN;;;;0 / 0;13036;2021-12-24 16:29:27:108
-0.433;2.822;10.0601;-0.441;2.5543;9.4579;-0.005;-0.4203;0.4699;-2.18;0.78;2.01;106.0;11.64;8.46;-27.24;324.14;-15.2;2.53;5.0;;;;NaN;;;;0 / 0;13536;2021-12-24 16:29:27:608
-0.241;2.448;8.013;-0.3334;2.3584;9.513;-0.2737;0.38;-1.4995;-2.47;-2.06;1.04;106.0;11.29;8.64;-27.49;327.13;-14.06;2.22;5.0;;;;NaN;;;;0 / 0;14036;2021-12-24 16:29:28:108
-0.21;2.4101;9.2891;-0.2452;2.4384;9.4955;0.119;0.0819;1.3096;0.01;0.44;-2.46;107.0;11.46;8.46;-28.01;324.3;-14.36;1.41;5.0;;;;NaN;;;;0 / 0;14536;2021-12-24 16:29:28:608
-0.119;2.429;10.481;-0.2963;2.3392;9.519;-0.1329;-0.0307;-0.1242;4.01;-0.3;-6.29;106.0;11.21;8.7;-27.54;324.13;-13.48;1.63;5.0;;;;NaN;;;;0 / 0;15036;2021-12-24 16:29:29:108
-0.045;2.369;10.326;-0.1582;2.5402;9.4706;-0.1344;0.1777;-0.8522;-1.36;2.83;0.03;107.0;11.7;8.51;-27.54;324.2;-14.98;0.97;5.0;;;;NaN;;;;0 / 0;15536;2021-12-24 16:29:29:608
-0.2891;2.513;9.5741;-0.1769;2.6593;9.4375;0.4832;0.1993;-0.5082;3.69;3.09;-7.37;107.0;11.16;8.21;-27.54;325.13;-14.92;1.12;5.0;;;;NaN;;;;0 / 0;16036;2021-12-24 16:29:30:108
-0.5171;2.003;10.716;-0.4124;2.0935;9.5717;-0.0174;0.3501;0.0511;-8.46;1.01;4.04;106.0;10.91;9.0;-27.3;326.15;-12.33;2.47;5.0;;;;NaN;;;;0 / 0;16536;2021-12-24 16:29:30:608
0.083;2.472;9.0161;-0.1211;2.2857;9.5358;-0.221;-0.1914;0.5353;3.48;-4.02;6.02;106.0;11.29;8.1;-27.41;323.2;-13.23;1.09;5.0;;;;NaN;;;;0 / 0;17035;2021-12-24 16:29:31:107
0.174;2.094;10.295;0.0863;2.1238;9.5735;-0.0266;0.4494;-1.4682;-6.27;-1.61;4.29;104.0;11.4;9.11;-27.24;323.42;-13.24;-0.18;5.0;;;;NaN;;;;0 / 0;17536;2021-12-24 16:29:31:608
0.342;2.0411;8.834;0.3019;2.1178;9.5705;0.0567;-0.0069;0.7445;7.22;-0.76;-8.42;106.0;10.91;7.99;-27.71;318.33;-11.69;-1.67;5.0;;;;NaN;;;;0 / 0;18035;2021-12-24 16:29:32:107
0.2441;2.166;10.694;0.4235;2.1272;9.5638;0.2923;0.034;-0.7035;-3.09;1.06;-6.9;106.0;10.31;9.11;-28.09;323.06;-12.98;-2.56;5.0;;;;NaN;;;;0 / 0;18536;2021-12-24 16:29:32:608
0.672;2.115;9.021;0.4628;2.1021;9.5675;-0.1535;0.1978;-0.1176;0.5;-4.31;-5.71;106.0;9.41;9.54;-27.71;326.57;-12.38;-2.77;5.0;;;;NaN;;;;0 / 0;19036;2021-12-24 16:29:33:108
0.789;2.139;9.356;0.6572;2.0686;9.5634;-0.1214;-0.0064;0.1929;-1.89;-2.98;-0.48;106.0;8.64;9.3;-27.6;323.74;-12.37;-3.62;5.0;;;;NaN;;;;0 / 0;19536;2021-12-24 16:29:33:608
0.2891;2.355;9.222;0.7211;2.1174;9.5481;0.4362;-0.0412;-0.0957;0.88;2.03;-12.8;106.0;8.1;10.01;-28.09;326.93;-12.31;-4.45;5.0;;;;NaN;;;;0 / 0;20036;2021-12-24 16:29:34:108
0.416;2.381;9.3041;0.39;2.0778;9.5761;0.0382;-0.08;0.3805;-0.69;0.54;1.66;106.0;8.59;10.31;-28.5;327.28;-12.23;-2.33;5.0;;;;NaN;;;;0 / 0;20535;2021-12-24 16:29:34:607
0.584;1.953;9.758;0.5255;2.128;9.5585;-0.0738;-0.024;-0.1255;-2.47;-2.94;5.9;106.0;7.99;9.9;-28.5;330.1;-12.83;-2.51;5.0;;;;NaN;;;;0 / 0;21035;2021-12-24 16:29:35:107
0.734;2.2211;9.665;0.6898;2.0596;9.5631;-0.0946;-0.0898;0.2282;2.17;-3.62;-3.96;106.0;6.41;10.39;-27.6;332.78;-12.12;-4.13;5.0;;;;NaN;;;;0 / 0;21536;2021-12-24 16:29:35:608
0.275;2.168;10.01;0.6324;2.0598;9.567;-0.0017;-0.1643;-0.6362;-2.18;-1.79;-2.99;105.0;6.41;11.16;-27.24;336.02;-12.45;-3.82;5.0;;;;NaN;;;;0 / 0;22036;2021-12-24 16:29:36:108
0.308;2.0921;10.2011;0.5808;2.1973;9.5396;0.1111;0.2246;-0.6053;0.66;2.7;-15.32;106.0;5.64;11.1;-28.01;335.53;-12.95;-3.48;5.0;;;;NaN;;;;0 / 0;22536;2021-12-24 16:29:36:608
0.641;2.058;8.945;0.3575;2.0408;9.5853;-0.5421;0.0949;0.3195;-2.61;-7.63;7.78;106.0;5.16;11.76;-28.39;341.64;-12.18;-1.73;5.0;;;;NaN;;;;0 / 0;23036;2021-12-24 16:29:37:108
0.5;1.586;8.705;0.5898;2.2406;9.529;0.1635;0.5027;-0.0362;-3.89;-1.37;10.33;104.0;4.8;12.41;-27.6;339.86;-13.31;-3.33;5.0;;;;NaN;;;;0 / 0;23535;2021-12-24 16:29:37:607
0.2081;1.977;9.2681;0.3862;1.6185;9.6645;0.091;-0.1177;0.1436;-1.23;2.72;-7.41;101.0;4.69;12.84;-27.9;340.03;-9.56;-2.74;5.0;;;;NaN;;;;0 / 0;24035;2021-12-24 16:29:38:107
0.344;1.974;10.304;0.2675;1.8852;9.62;0.0223;-0.1306;-0.0777;-1.53;-3.36;-7.38;100.0;3.54;13.8;-27.49;346.05;-11.12;-1.53;5.0;;;;NaN;;;;0 / 0;24536;2021-12-24 16:29:38:608
0.234;1.814;9.32;0.4325;1.7372;9.6419;0.0147;-0.0266;0.3024;1.44;-1.62;-1.2;101.0;3.19;13.14;-27.36;346.56;-10.08;-2.51;5.0;;;;NaN;;;;0 / 0;25035;2021-12-24 16:29:39:107
-0.205;1.8281;10.019;0.1222;1.7802;9.6429;0.2267;0.0472;-1.1056;-2.65;2.3;-5.4;100.0;3.41;13.69;-27.3;349.63;-10.63;-0.91;5.0;;;;NaN;;;;0 / 0;25536;2021-12-24 16:29:39:608
-0.7849;1.874;8.9921;-0.362;1.9329;9.6075;0.2736;-0.3082;-0.3141;5.43;1.82;-8.24;100.0;3.41;12.9;-26.89;352.9;-10.75;1.65;5.0;;;;NaN;;;;0 / 0;26036;2021-12-24 16:29:40:108
-0.988;1.7831;10.3331;-0.7537;1.8945;9.5924;0.488;-0.2357;0.2756;-2.28;2.79;-7.73;99.0;3.3;13.86;-26.34;356.67;-11.5;3.99;5.0;;;;NaN;;;;0 / 0;26536;2021-12-24 16:29:40:608
-0.804;1.7711;8.825;-0.8046;1.7911;9.6081;0.0083;-0.1002;-0.0384;-2.56;-0.33;1.86;100.0;3.41;13.56;-26.76;357.79;-10.79;4.88;5.0;;;;NaN;;;;0 / 0;27036;2021-12-24 16:29:41:108
-0.6649;1.61;9.663;-0.6883;2.0039;9.575;0.0608;0.5192;0.068;3.77;2.93;-7.43;100.0;3.0;13.69;-26.76;356.51;-11.58;3.87;5.0;;;;NaN;;;;0 / 0;27536;2021-12-24 16:29:41:608
-0.892;1.8791;10.926;-0.6908;1.7821;9.6186;0.1954;-0.0951;-1.3028;-3.93;-0.43;-0.88;101.0;3.19;13.39;-26.76;356.82;-11.08;4.12;5.0;;;;NaN;;;;0 / 0;28036;2021-12-24 16:29:42:108
-0.7181;2.06;7.1801;-0.5746;1.9282;9.598;0.1237;-0.1257;2.419;1.07;2.17;-3.97;102.0;2.64;13.56;-26.89;355.86;-11.34;3.43;5.0;;;;NaN;;;;0 / 0;28535;2021-12-24 16:29:42:607
-0.1481;2.003;9.308;-0.4796;1.8832;9.6122;-0.3558;-0.1243;0.3099;-1.39;2.93;-4.08;101.0;3.36;13.2;-27.06;354.75;-11.07;2.86;5.0;;;;NaN;;;;0 / 0;29036;2021-12-24 16:29:43:108
-0.6409;1.893;9.737;-0.4877;2.0077;9.5865;-0.011;0.2643;-1.0509;4.79;-1.32;6.96;103.0;3.96;12.36;-27.79;351.82;-11.55;3.06;5.0;;;;NaN;;;;0 / 0;29535;2021-12-24 16:29:43:607
-0.258;2.252;8.856;-0.5156;1.9186;9.6033;-0.0111;-0.0283;-1.1985;1.56;-3.1;5.15;104.0;3.79;12.36;-27.36;351.87;-11.32;3.29;5.0;;;;NaN;;;;0 / 0;30036;2021-12-24 16:29:44:108
-0.299;2.2931;10.1201;-0.3535;1.8193;9.6299;-0.0187;-0.2896;-1.4472;-5.95;-4.9;6.37;103.0;3.6;12.41;-27.49;349.87;-10.69;2.1;5.0;;;;NaN;;;;0 / 0;30536;2021-12-24 16:29:44:608
0.143;1.5551;7.824;-0.3624;1.9259;9.6089;-0.0749;-0.3472;-1.3258;4.43;0.67;-0.58;106.0;3.79;12.0;-26.7;350.11;-11.33;2.16;5.0;;;;NaN;;;;0 / 0;31036;2021-12-24 16:29:45:108
-1.2439;1.826;9.2051;-0.4781;1.8167;9.625;-0.5319;0.459;0.3047;-1.62;0.2;3.35;103.0;3.6;12.41;-27.0;351.16;-10.91;2.89;5.0;;;;NaN;;;;0 / 0;31536;2021-12-24 16:29:45:608
-0.789;2.046;8.267;-0.5779;2.0148;9.58;-0.1012;0.1624;2.1025;6.0;-1.29;-0.25;107.0;3.11;12.11;-27.06;355.53;-11.5;3.51;5.0;;;;NaN;;;;0 / 0;32036;2021-12-24 16:29:46:108
-0.7939;1.8;10.328;-0.4895;1.7083;9.6443;0.0355;-0.4085;-0.6408;-3.51;-0.76;11.86;104.0;3.84;12.0;-26.4;350.96;-10.18;3.04;5.0;;;;NaN;;;;0 / 0;32536;2021-12-24 16:29:46:608
-0.7249;1.728;7.578;-0.6547;2.0969;9.5575;0.5575;0.0129;1.7666;7.42;4.96;-7.02;104.0;4.91;11.94;-26.16;349.04;-11.42;3.54;5.0;;;;NaN;;;;0 / 0;33036;2021-12-24 16:29:47:108
-0.282;1.539;11.037;-0.6935;1.8639;9.6029;0.2498;-0.0216;-0.808;-7.83;-2.27;1.73;105.0;4.91;12.41;-27.06;350.21;-11.38;4.3;5.0;;;;NaN;;;;0 / 0;33536;2021-12-24 16:29:47:608
-0.708;1.424;8.061;-0.5257;2.0233;9.5813;0.1795;0.6314;1.527;8.96;-0.29;0.95;103.0;4.8;10.61;-27.0;347.86;-11.37;3.22;5.0;;;;NaN;;;;0 / 0;34036;2021-12-24 16:29:48:108
-0.7511;1.4741;9.806;-0.5273;2.0759;9.5699;-0.2193;-0.1046;-1.6592;-8.0;-0.56;3.26;104.0;4.86;12.0;-26.64;348.66;-12.22;3.15;5.0;;;;NaN;;;;0 / 0;34536;2021-12-24 16:29:48:608
-0.0139;3.384;11.058;-0.2184;1.915;9.6154;-0.424;-0.4635;0.8094;10.06;-8.43;4.08;102.0;3.0;9.6;-28.74;352.22;-10.67;1.82;5.0;;;;NaN;;;;0 / 0;35036;2021-12-24 16:29:49:108
0.296;3.626;9.806;0.0168;2.7418;9.4156;0.2657;-0.4524;-1.3289;2.13;-2.77;-14.05;116.0;-0.71;7.86;-31.31;356.09;-15.96;-0.32;5.0;;;;NaN;;;;0 / 0;35536;2021-12-24 16:29:49:608
1.251;3.7691;10.082;0.3826;3.49;9.1566;-0.2984;-0.419;-0.4185;3.7;-5.5;5.62;148.0;-1.5;5.1;-32.04;359.67;-20.63;-1.95;5.0;;;;NaN;;;;0 / 0;36036;2021-12-24 16:29:50:108
-0.849;2.903;11.027;0.027;3.1633;9.2824;0.8559;0.6017;-1.2737;-12.3;18.3;6.04;121.0;2.51;10.99;-28.8;349.77;-19.54;-1.14;5.0;;;;NaN;;;;0 / 0;36536;2021-12-24 16:29:50:608
0.5261;2.697;11.4551;0.1707;2.5686;9.4627;-1.3261;-0.6137;1.1136;-3.25;-20.48;3.89;116.0;-0.6;8.76;-31.31;3.92;-15.23;0.28;5.0;;;;NaN;;;;0 / 0;37036;2021-12-24 16:29:51:108
2.2781;2.087;9.993;1.0909;2.6768;9.371;-1.1169;0.5544;-0.6098;-14.4;-26.61;-21.78;107.0;-8.7;12.41;-32.4;16.19;-16.2;-5.32;5.0;;;;NaN;;;;0 / 0;37536;2021-12-24 16:29:51:608
2.4431;1.8791;9.0911;2.4388;1.7076;9.3438;0.314;0.0868;0.4906;-8.79;-12.69;-17.32;96.0;-14.81;16.69;-31.56;18.62;-11.4;-12.73;5.0;;;;NaN;;;;0 / 0;38036;2021-12-24 16:29:52:108
2.295;1.314;12.363;2.412;1.7823;9.3368;0.2532;0.2587;-2.7761;-13.43;11.89;-10.93;97.0;-11.29;16.5;-30.96;7.28;-10.47;-14.48;5.0;;;;NaN;;;;0 / 0;38535;2021-12-24 16:29:52:607
2.321;1.5431;6.975;2.0381;1.7857;9.4249;0.6702;-0.3049;-0.6606;15.63;1.94;0.65;99.0;-10.91;15.6;-30.66;11.34;-8.74;-12.26;5.0;;;;NaN;;;;0 / 0;39036;2021-12-24 16:29:53:108
2.4671;1.251;10.706;2.163;1.4746;9.4508;0.6627;-0.0317;-0.6343;-7.18;-1.2;10.11;98.0;-10.44;16.86;-30.3;8.17;-9.21;-12.75;5.0;;;;NaN;;;;0 / 0;39535;2021-12-24 16:29:53:607
1.637;1.385;7.353;2.0763;1.728;9.4273;0.1285;0.1524;0.5757;1.51;-1.1;-5.91;96.0;-12.49;17.16;-30.49;13.05;-9.58;-12.69;5.0;;;;NaN;;;;0 / 0;40036;2021-12-24 16:29:54:108
2.8811;3.185;10.1771;2.3512;1.5775;9.389;-1.1955;-0.5518;-0.8006;9.11;-10.32;4.43;103.0;-12.0;12.96;-31.8;11.94;-9.26;-14.06;5.0;;;;NaN;;;;0 / 0;40536;2021-12-24 16:29:54:608
0.584;1.749;9.404;1.5262;2.0641;9.4647;0.8891;0.2895;0.0837;-5.46;28.41;29.24;103.0;-2.1;12.66;-28.74;352.0;-12.15;-9.16;5.0;;;;NaN;;;;0 / 0;41035;2021-12-24 16:29:55:107
0.2291;2.0321;10.266;0.6856;1.9793;9.5803;0.4949;0.2359;1.2719;-5.63;2.39;2.68;106.0;-1.5;12.54;-27.9;356.66;-11.87;-4.25;5.0;;;;NaN;;;;0 / 0;41536;2021-12-24 16:29:55:608
0.9041;1.409;10.208;0.8197;1.3711;9.6757;-0.0269;-0.1548;-0.4176;-3.2;-3.5;8.34;103.0;-1.99;12.54;-27.54;359.28;-8.31;-4.52;5.0;;;;NaN;;;;0 / 0;42036;2021-12-24 16:29:56:108
0.71;1.371;10.232;0.988;1.2236;9.6797;-0.0641;-0.1146;-0.497;-2.57;-0.32;-6.14;101.0;-2.51;11.81;-26.51;0.91;-7.17;-5.83;5.0;;;;NaN;;;;0 / 0;42535;2021-12-24 16:29:56:607
1.215;1.2821;11.5751;0.9823;1.3391;9.665;0.0425;-0.309;-1.6944;0.19;-1.22;-3.82;103.0;-3.3;11.1;-27.41;1.22;-7.49;-5.65;5.0;;;;NaN;;;;0 / 0;43036;2021-12-24 16:29:57:108
0.926;2.324;10.395;0.8502;1.3449;9.6767;0.0058;-0.9161;-0.1844;3.93;-2.41;-4.98;102.0;-4.61;10.86;-26.7;10.38;-7.62;-4.93;5.0;;;;NaN;;;;0 / 0;43535;2021-12-24 16:29:57:607
1.1201;2.0411;9.4571;0.8867;2.0506;9.5488;0.3936;-0.0855;-0.8409;3.63;-2.87;-9.29;104.0;-6.24;9.9;-27.0;13.0;-11.39;-5.23;5.0;;;;NaN;;;;0 / 0;44036;2021-12-24 16:29:58:108
0.5381;1.977;10.3781;0.7672;2.0265;9.5643;-0.5006;0.5131;0.5724;-3.07;-2.95;-11.27;104.0;-7.01;8.7;-26.4;18.87;-12.02;-4.6;5.0;;;;NaN;;;;0 / 0;44536;2021-12-24 16:29:58:608
1.3061;2.0081;9.9761;1.0594;1.8544;9.5713;-0.221;-0.0661;-0.6031;2.08;-8.72;5.15;104.0;-8.4;8.46;-26.76;20.82;-10.9;-6.32;5.0;;;;NaN;;;;0 / 0;45035;2021-12-24 16:29:59:107
1.0121;1.548;9.632;1.3065;1.7124;9.5672;-0.0147;-0.0718;-0.4029;-4.6;-1.35;-8.91;104.0;-8.94;7.74;-27.11;22.28;-10.17;-7.8;5.0;;;;NaN;;;;0 / 0;45536;2021-12-24 16:29:59:608
1.1291;1.802;10.713;1.1317;1.8428;9.5652;0.01;0.0471;-1.1402;-1.47;-2.04;-18.18;104.0;-9.9;5.94;-26.7;31.07;-10.75;-6.87;5.0;;;;NaN;;;;0 / 0;46035;2021-12-24 16:30:00:107
1.328;2.087;8.82;1.2616;1.6879;9.5776;-0.0142;-0.0593;-0.0614;1.91;-1.73;-2.88;102.0;-11.59;4.69;-26.34;41.77;-9.76;-7.42;5.0;;;;NaN;;;;0 / 0;46536;2021-12-24 16:30:00:608
0.3821;1.8761;9.849;1.0308;1.932;9.559;0.3771;0.2158;0.3517;-5.77;3.67;-31.36;105.0;-11.76;3.6;-25.99;43.36;-11.5;-6.82;5.0;;;;NaN;;;;0 / 0;47036;2021-12-24 16:30:01:108
0.84;1.9571;9.399;0.6699;1.8616;9.605;-0.3652;-0.1406;0.6973;6.8;-4.27;-0.98;103.0;-13.01;2.21;-25.74;56.76;-10.23;-3.8;5.0;;;;NaN;;;;0 / 0;47536;2021-12-24 16:30:01:608
1.299;1.5791;10.115;0.876;1.9262;9.5756;0.4331;0.4017;-0.9156;-5.98;-2.28;-20.96;104.0;-13.14;1.8;-25.91;54.9;-11.57;-5.35;5.0;;;;NaN;;;;0 / 0;48035;2021-12-24 16:30:02:107
0.713;2.261;9.0161;0.7041;1.9545;9.5841;0.4347;-0.5154;1.0374;4.66;1.42;-7.39;104.0;-13.56;0.0;-25.69;65.98;-11.5;-4.2;5.0;;;;NaN;;;;0 / 0;48536;2021-12-24 16:30:02:608
0.062;2.621;8.822;0.2499;2.3397;9.5202;0.1669;-0.2727;0.7079;0.58;5.87;-13.43;105.0;-13.69;-0.79;-25.31;66.15;-13.54;-2.49;5.0;;;;NaN;;;;0 / 0;49035;2021-12-24 16:30:03:107
0.7181;2.417;9.155;0.1647;2.2569;9.542;-0.2254;0.2433;0.6748;-0.8;-4.26;-6.98;104.0;-14.51;-1.31;-24.41;72.5;-13.34;-0.86;5.0;;;;NaN;;;;0 / 0;49536;2021-12-24 16:30:03:608
0.0401;2.204;10.275;0.4078;2.3486;9.5125;0.6074;-0.1989;-0.5421;-1.61;7.42;-13.76;106.0;-15.71;-1.74;-24.41;74.86;-13.84;-2.95;5.0;;;;NaN;;;;0 / 0;50036;2021-12-24 16:30:04:108
-0.3941;2.558;9.5531;-0.1757;2.1478;9.5669;0.1906;-0.3887;0.0164;3.25;3.36;-5.11;104.0;-15.96;-2.59;-24.06;82.16;-12.65;1.05;5.0;;;;NaN;;;;0 / 0;50535;2021-12-24 16:30:04:607
-0.0619;1.9811;10.338;-0.0963;2.2083;9.5543;-0.1857;-0.021;-0.5763;-4.24;-3.21;-8.5;104.0;-15.96;-2.59;-24.6;80.29;-13.29;0.62;5.0;;;;NaN;;;;0 / 0;51036;2021-12-24 16:30:05:108
-0.5209;2.484;8.676;-0.3122;2.2315;9.5443;0.1509;-0.0976;1.4402;5.11;1.7;0.16;106.0;-15.49;-3.71;-24.41;85.08;-12.9;1.75;5.0;;;;NaN;;;;0 / 0;51535;2021-12-24 16:30:05:607
-0.7301;2.238;10.388;-0.5434;2.3777;9.4985;0.71;0.2464;1.2054;0.68;0.48;1.38;106.0;-16.01;-3.66;-24.06;84.5;-13.96;3.34;5.0;;;;NaN;;;;0 / 0;52036;2021-12-24 16:30:06:108
-0.495;2.0891;10.7231;-0.6449;2.4952;9.4619;-0.1792;0.1683;-0.672;0.15;0.2;-0.96;104.0;-16.26;-3.71;-24.11;83.68;-14.74;3.9;5.0;;;;NaN;;;;0 / 0;52536;2021-12-24 16:30:06:608
