ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.4691,4.052,9.0431,0.7667,4.0597,8.8939,0.4227,0.2757,-0.2968,-0.0374,-0.0513,0.0132,44.46,3.6,-22.86,284.17,-24.45,-4.93,5.0,,,,NaN,,,,0 / 38,21,2021-12-17 08:16:31:382
0.911,2.7281,8.7101,1.0226,2.9749,9.2884,0.0472,0.2835,0.6988,-0.4674,-0.1192,-0.2372,42.41,12.66,-23.21,292.96,-20.81,-6.01,5.0,,,,NaN,,,,0 / 38,521,2021-12-17 08:16:31:882
0.225,2.633,9.447,0.7511,1.7055,9.628,0.4347,-0.5446,0.1283,-0.298,-0.0129,-0.1507,40.91,16.2,-23.4,294.46,-11.05,-4.72,5.0,,,,NaN,,,,0 / 38,1021,2021-12-17 08:16:32:382
1.16,2.372,10.955,0.5669,2.2597,9.5259,-0.3603,-0.736,-1.6935,0.0776,0.1628,0.2394,45.06,10.01,-20.46,286.09,-12.08,-3.77,5.0,,,,NaN,,,,0 / 38,1522,2021-12-17 08:16:32:883
0.794,1.701,9.5741,0.7289,1.9314,9.5869,-0.4373,-0.0371,0.7097,-0.0272,-0.1977,-0.179,41.16,15.84,-24.49,294.86,-11.36,-4.35,5.0,,,,NaN,,,,0 / 38,2021,2021-12-17 08:16:33:382
1.493,1.385,9.3611,1.2091,1.5496,9.6077,-0.1771,-0.0959,0.4223,-0.1185,-0.0243,-0.1158,39.54,18.49,-25.01,296.31,-9.87,-7.05,5.0,,,,NaN,,,,0 / 38,2521,2021-12-17 08:16:33:882
2.0891,1.1921,8.921,1.8081,1.051,9.581,-0.2078,-0.2861,-0.3988,-0.1041,-0.0964,-0.0241,38.21,17.76,-26.1,295.24,-6.15,-10.69,5.0,,,,NaN,,,,0 / 39,3021,2021-12-17 08:16:34:382
2.417,0.933,9.071,2.2135,1.0858,9.4917,-0.2117,0.1647,0.4369,-0.0283,-0.1028,-0.0213,37.09,18.49,-26.51,295.41,-6.5,-12.6,5.0,,,,NaN,,,,0 / 39,3521,2021-12-17 08:16:34:882
2.4671,1.1171,8.9951,2.1126,1.0039,9.5236,0.1649,0.0368,0.2345,-0.0269,0.0333,-0.0151,36.36,19.31,-26.51,296.9,-5.88,-12.51,5.0,,,,NaN,,,,0 / 39,4022,2021-12-17 08:16:35:383
2.297,0.897,9.074,2.2972,0.9697,9.4843,-0.1544,-0.2016,0.2906,0.0077,-0.0458,-0.0488,35.21,20.29,-27.0,298.24,-5.67,-13.62,5.0,,,,NaN,,,,0 / 39,4521,2021-12-17 08:16:35:882
2.388,0.308,9.435,2.3344,0.7193,9.4976,-0.072,0.3667,0.0817,-0.0791,0.0223,0.0017,34.5,21.11,-26.64,298.83,-4.21,-13.81,5.0,,,,NaN,,,,0 / 39,5021,2021-12-17 08:16:36:382
1.91,0.5861,9.567,2.1173,0.5497,9.5596,0.1708,-0.0199,0.0058,0.0076,0.0415,-0.0649,33.54,22.01,-25.99,300.62,-3.21,-12.49,5.0,,,,NaN,,,,0 / 39,5521,2021-12-17 08:16:36:882
1.452,0.459,9.878,1.8784,0.7307,9.5973,0.2438,-0.0555,-0.3365,0.0161,0.0388,-0.0443,32.76,22.2,-26.81,301.83,-4.12,-11.32,5.0,,,,NaN,,,,0 / 39,6022,2021-12-17 08:16:37:383
1.316,0.347,10.2371,1.4999,0.5547,9.6754,0.1991,0.2251,-0.5552,-0.0558,0.0331,-7.0E-4,33.84,22.86,-26.29,302.74,-3.5,-8.97,5.0,,,,NaN,,,,0 / 39,6521,2021-12-17 08:16:37:882
1.424,0.3941,9.8111,1.3552,0.3428,9.7065,-0.059,-0.0317,-0.1007,-0.0293,0.007,-0.0066,32.7,22.69,-26.81,303.18,-2.17,-7.99,5.0,,,,NaN,,,,0 / 39,7021,2021-12-17 08:16:38:382
1.2041,0.416,10.328,1.0848,0.3553,9.74,-0.0928,-0.04,-0.5871,-0.021,0.0584,0.0094,32.94,22.99,-27.06,303.63,-2.26,-6.67,5.0,,,,NaN,,,,0 / 39,7521,2021-12-17 08:16:38:882
0.7271,0.05,9.924,0.8839,0.0707,9.7665,0.3731,-0.0375,-0.5326,-0.0641,0.0518,0.0407,32.89,22.8,-26.21,303.5,-1.0,-5.51,5.0,,,,NaN,,,,0 / 39,8022,2021-12-17 08:16:39:383
0.749,0.2201,9.8951,0.7816,0.1327,9.7746,0.0901,-0.009,0.0494,0.0264,0.016,-0.0243,32.51,22.56,-25.91,303.58,-0.58,-4.63,5.0,,,,NaN,,,,0 / 39,8521,2021-12-17 08:16:39:882
1.01,0.165,10.146,0.8796,0.18,9.7655,-0.1147,0.0574,-0.2046,0.0239,-0.0252,-0.0054,33.06,22.26,-25.99,302.48,-0.94,-5.01,5.0,,,,NaN,,,,0 / 39,9022,2021-12-17 08:16:40:383
0.7511,0.189,10.8281,0.7081,0.2839,9.7769,0.0837,-0.0831,0.1592,0.0287,0.0886,-0.0363,33.24,22.39,-25.91,302.8,-1.46,-4.76,5.0,,,,NaN,,,,0 / 39,9521,2021-12-17 08:16:40:882
0.8951,0.6,8.8991,0.9619,0.3506,9.7531,0.2725,0.0525,-0.0048,0.0368,-0.0408,-0.0071,33.19,22.5,-26.4,304.01,-1.96,-5.2,5.0,45.367664,15.083013,520.8,NaN,38.91,5.1,343.64,12 / 39,10022,2021-12-17 08:16:41:383
1.122,0.399,10.091,0.8307,0.561,9.7553,0.0496,0.0917,0.3981,0.0132,0.0076,-0.0027,33.19,22.44,-26.7,303.38,-2.98,-5.03,5.0,45.367664,15.083013,520.8,NaN,38.91,5.1,343.64,12 / 39,10522,2021-12-17 08:16:41:883
0.959,0.081,10.103,0.8287,0.213,9.7692,0.0136,0.0805,-0.3921,-0.0555,-0.0136,0.0469,33.3,22.31,-26.16,302.9,-1.75,-4.87,5.0,45.36777,15.082995,519.5,NaN,36.05,4.9,345.57,14 / 39,11022,2021-12-17 08:16:42:383
0.4781,0.471,10.1081,0.6309,0.2494,9.7832,0.2359,-0.2681,0.1672,0.0428,0.0943,-0.0034,33.6,22.09,-26.04,301.9,-0.97,-4.58,5.0,45.36777,15.082995,519.5,NaN,36.05,4.9,345.57,14 / 39,11522,2021-12-17 08:16:42:883
1.373,0.8591,9.842,0.6361,0.5806,9.7688,-0.2901,-0.1004,-0.3648,0.0396,-0.1085,-0.0249,32.94,22.56,-26.04,305.21,-3.19,-3.29,5.0,45.367867,15.082992,518.1,NaN,33.06,4.8,344.0,17 / 39,12021,2021-12-17 08:16:43:382
0.4451,1.1531,9.675,0.7916,0.8448,9.7381,0.1097,-0.2746,-0.1227,0.0744,0.07,-0.0456,33.06,21.84,-26.29,303.95,-4.43,-5.17,5.0,45.367867,15.082992,518.1,NaN,33.06,4.8,344.0,17 / 39,12522,2021-12-17 08:16:43:883
0.251,1.053,9.9071,0.3711,1.0943,9.7383,0.2758,0.0592,-0.1092,0.0073,0.0476,-0.0329,33.9,22.44,-26.34,305.05,-6.39,-2.41,5.0,45.367954,15.082995,516.9,NaN,30.25,4.6,345.61,19 / 39,13021,2021-12-17 08:16:44:382
-0.0401,0.7031,9.885,0.2127,0.949,9.7583,0.4139,0.5783,-0.145,-0.012,0.0143,0.0285,34.14,21.9,-26.21,305.16,-5.73,-1.44,5.0,45.367954,15.082995,516.9,NaN,30.25,4.6,345.61,19 / 39,13522,2021-12-17 08:16:44:883
-0.203,0.789,9.756,-0.1424,0.8715,9.7668,-0.0607,0.0951,-0.0398,-0.0151,0.0359,0.0587,35.4,20.64,-25.61,303.75,-4.97,0.6,5.0,45.368187,15.083117,479.8,NaN,26.57,10.1,347.18,19 / 39,14021,2021-12-17 08:16:45:382
-0.038,0.9641,10.0931,-0.1287,0.932,9.7614,-0.232,0.0556,-0.4263,0.0037,-0.0358,0.0628,36.66,19.91,-26.04,301.41,-5.3,0.82,5.0,45.368187,15.083117,479.8,NaN,26.57,10.1,347.18,19 / 39,14522,2021-12-17 08:16:45:883
-0.438,1.038,10.098,-0.0908,0.9068,9.7642,0.2906,-0.0875,0.0393,-0.0081,0.0641,0.1022,37.56,18.11,-25.5,298.28,-5.34,0.34,5.0,45.368187,15.083117,479.8,NaN,26.57,10.1,347.18,19 / 39,15022,2021-12-17 08:16:46:383
-0.28,1.4141,9.519,-0.328,0.9828,9.7518,-0.1191,-0.3919,-0.0553,-0.0029,-0.0267,0.1086,39.11,16.56,-25.61,297.35,-5.73,2.14,5.0,45.368366,15.08312,456.2,NaN,15.26,7.7,321.53,19 / 39,15521,2021-12-17 08:16:46:882
0.392,1.29,10.043,0.1757,1.2481,9.7253,-0.2468,-0.0164,-0.2072,0.004,-0.0832,0.11,39.36,15.11,-25.61,294.84,-7.26,-0.39,5.0,45.368366,15.08312,456.2,NaN,15.26,7.7,321.53,19 / 39,16022,2021-12-17 08:16:47:383
0.146,1.4021,9.6,0.381,1.5794,9.6711,0.381,0.1766,0.0552,0.1334,0.0363,0.0496,39.9,12.49,-25.2,290.22,-7.99,-2.48,5.0,45.3684,15.083103,448.6,NaN,13.68,6.1,315.19,19 / 39,16522,2021-12-17 08:16:47:883
0.069,1.431,9.708,0.2304,1.7872,9.6397,0.3051,0.2012,0.0268,0.0697,0.0455,0.0853,41.04,9.11,-25.31,287.15,-9.62,-1.59,5.0,45.3684,15.083103,448.6,NaN,13.68,6.1,315.19,19 / 39,17021,2021-12-17 08:16:48:382
1.208,1.821,9.452,0.8487,1.8123,9.6003,-0.3316,0.0927,-0.0664,0.0806,-0.2197,0.1048,39.66,6.6,-25.56,284.91,-10.41,-3.81,5.0,45.368427,15.083067,445.8,NaN,11.48,5.6,300.14,18 / 39,17522,2021-12-17 08:16:48:883
0.452,2.1731,9.677,0.9346,2.0991,9.5337,0.4852,-0.0666,-0.1368,0.0478,0.2402,0.0109,41.21,4.26,-24.79,280.56,-12.02,-6.5,5.0,45.368427,15.083067,445.8,NaN,11.48,5.6,300.14,18 / 39,18022,2021-12-17 08:16:49:383
0.909,2.202,9.545,0.3281,2.2313,9.5438,-0.5937,0.0449,0.0088,-0.0272,-0.0712,0.2085,40.86,1.44,-24.19,278.55,-13.34,-1.51,5.0,45.368397,15.083012,453.3,NaN,12.45,5.1,291.33,20 / 39,18521,2021-12-17 08:16:49:882
0.974,2.537,9.519,0.8302,2.35,9.4847,-0.2451,-0.1273,-0.3588,0.0374,-0.0103,0.107,40.01,-1.26,-23.16,275.01,-13.66,-4.73,5.0,45.368397,15.083012,453.3,NaN,12.45,5.1,291.33,20 / 39,19022,2021-12-17 08:16:50:383
0.698,2.64,9.284,1.0018,2.6078,9.4003,0.2486,-0.0901,-0.0355,0.048,0.0362,0.0613,39.11,-3.24,-23.21,272.74,-15.11,-6.15,5.0,45.36841,15.082965,452.3,NaN,13.3,4.7,281.35,22 / 39,19521,2021-12-17 08:16:50:882
1.3301,2.654,9.4301,1.1098,2.6212,9.3845,-0.1296,0.0061,0.0409,0.0138,-0.0309,0.0909,38.89,-4.61,-23.34,270.09,-15.5,-6.74,5.0,45.36841,15.082965,452.3,NaN,13.3,4.7,281.35,22 / 39,20022,2021-12-17 08:16:51:383
1.658,2.568,9.3611,1.3277,2.6233,9.3555,-0.198,0.1616,0.1862,-0.0316,-0.0322,0.1272,38.21,-6.6,-22.39,266.83,-15.7,-7.87,5.0,45.368412,15.082915,450.6,NaN,14.97,4.4,274.58,22 / 39,20521,2021-12-17 08:16:51:882
1.4861,2.7071,9.287,1.4803,2.5574,9.3509,-0.0477,-0.1262,0.0785,0.0138,0.0375,0.0355,37.8,-7.31,-22.44,266.31,-15.12,-9.0,5.0,45.368412,15.082915,450.6,NaN,14.97,4.4,274.58,22 / 39,21022,2021-12-17 08:16:52:383
1.524,2.4911,9.3971,1.3392,2.6323,9.3513,-0.1144,0.1419,-0.0384,-0.0027,-0.0419,0.0355,37.91,-8.04,-22.61,265.76,-15.55,-8.04,5.0,45.368404,15.08284,448.2,NaN,22.18,4.1,260.25,24 / 39,21522,2021-12-17 08:16:52:883
2.01,2.214,9.4931,1.6865,2.508,9.3293,-0.3579,0.3351,-0.152,-0.0807,-0.0892,0.1001,37.01,-8.21,-22.31,264.82,-15.23,-9.6,5.0,45.368404,15.08284,448.2,NaN,22.18,4.1,260.25,24 / 39,22021,2021-12-17 08:16:53:382
1.7561,1.5791,9.402,1.9431,1.8757,9.4274,0.2269,0.2919,0.1581,-0.1068,0.0854,0.0821,36.79,-8.76,-22.56,262.0,-11.88,-12.02,5.0,45.368393,15.082765,446.2,NaN,24.51,3.9,258.7,25 / 39,22522,2021-12-17 08:16:53:883
2.084,1.259,9.914,1.7925,1.4586,9.5305,-0.4549,0.1783,-0.0855,-0.0494,-0.0737,0.0208,36.49,-8.1,-22.74,262.04,-8.55,-10.65,5.0,45.368393,15.082765,446.2,NaN,24.51,3.9,258.7,25 / 39,23022,2021-12-17 08:16:54:383
2.582,1.1561,9.483,2.4961,1.1723,9.4109,-0.053,0.0506,-0.1883,-0.0553,-0.1196,0.0257,35.76,-7.44,-23.59,262.65,-6.87,-14.86,5.0,45.368378,15.082672,446.8,NaN,25.39,3.6,260.43,24 / 39,23521,2021-12-17 08:16:54:882
2.309,1.3661,9.375,2.4512,1.2117,9.4177,0.1632,-0.0087,-0.4187,0.0039,0.0212,-0.0575,36.71,-6.49,-23.34,263.95,-6.93,-14.82,5.0,45.368378,15.082672,446.8,NaN,25.39,3.6,260.43,24 / 39,24022,2021-12-17 08:16:55:383
2.4101,1.352,9.234,2.3091,1.2149,9.4532,-0.1432,-0.1175,-0.2991,-0.0169,-0.0025,-0.0084,36.9,-6.06,-23.76,264.3,-7.12,-13.73,5.0,45.368366,15.082582,446.1,NaN,18.02,3.0,263.63,24 / 39,24521,2021-12-17 08:16:55:882
2.925,1.85,9.3851,2.622,1.5627,9.3195,-0.4698,-0.3169,-0.0649,0.0881,-0.1412,-0.1119,36.41,-5.04,-24.0,266.1,-9.17,-15.71,5.0,45.368366,15.082582,446.1,NaN,18.02,3.0,263.63,24 / 39,25022,2021-12-17 08:16:56:383
2.757,2.1251,8.978,2.8308,1.9128,9.1923,-0.2066,0.0877,-0.2194,0.0182,0.0019,-0.0338,37.39,-5.29,-24.19,266.55,-11.25,-17.12,5.0,45.36836,15.082472,445.4,NaN,30.18,2.7,266.94,24 / 39,25521,2021-12-17 08:16:56:882
3.0611,2.099,9.335,2.9284,1.8454,9.1755,0.1,0.0286,-0.5374,0.0017,0.0084,-0.0525,37.14,-3.71,-24.6,267.91,-10.85,-17.7,5.0,45.36836,15.082472,445.4,NaN,30.18,2.7,266.94,24 / 39,26022,2021-12-17 08:16:57:383
2.798,1.871,9.155,2.8078,1.9644,9.1885,0.3711,-0.08,0.0994,-5.0E-4,0.029,-0.0473,36.84,-2.59,-24.0,269.31,-11.56,-16.99,5.0,45.368355,15.082357,444.7,NaN,33.62,2.6,268.61,23 / 39,26521,2021-12-17 08:16:57:882
2.9291,1.359,9.026,2.7494,1.714,9.256,0.0117,0.3383,-0.2374,-0.0935,-0.0348,0.0099,36.06,-1.99,-25.31,270.75,-10.49,-16.41,5.0,45.368355,15.082357,444.7,NaN,33.62,2.6,268.61,23 / 39,27021,2021-12-17 08:16:58:382
2.048,1.041,9.947,2.6504,1.314,9.3498,-0.008,0.2083,-0.2845,-0.0686,0.0712,0.0463,37.14,-1.44,-25.44,271.28,-8.17,-16.27,5.0,45.36835,15.082222,444.4,NaN,37.04,2.5,270.08,23 / 39,27522,2021-12-17 08:16:58:883
2.613,1.196,9.8831,2.3682,1.1363,9.4483,-0.1137,-0.0155,-0.0621,-0.0276,0.0417,-0.017,36.36,-0.84,-25.31,271.14,-6.77,-14.3,5.0,45.36835,15.082222,444.4,NaN,37.04,2.5,270.08,23 / 39,28021,2021-12-17 08:16:59:382
2.577,1.091,9.854,2.5302,1.1804,9.4008,-0.0909,-0.0219,-0.1314,0.0092,-0.0371,-0.0382,36.11,-0.3,-25.01,272.48,-6.7,-14.41,5.0,45.36836,15.08207,444.4,NaN,39.94,2.4,271.81,22 / 39,28522,2021-12-17 08:16:59:883
2.424,1.577,9.069,2.5632,1.2273,9.3858,0.2478,-0.2028,-0.3255,0.0102,0.0084,0.0022,36.79,-0.84,-25.69,271.24,-7.16,-15.29,5.0,45.36836,15.08207,444.4,NaN,39.94,2.4,271.81,22 / 39,29022,2021-12-17 08:17:00:383
3.075,1.184,9.0641,2.3858,1.4582,9.3996,0.4316,0.1839,-1.1704,0.0355,0.0121,-0.0628,37.01,0.06,-25.26,272.94,-8.28,-14.43,5.0,45.368378,15.081915,444.0,NaN,41.37,2.3,277.94,21 / 39,29522,2021-12-17 08:17:00:883
2.412,2.075,9.2291,2.1732,1.6506,9.4193,0.2021,-0.5833,-0.9346,0.0422,0.0836,-0.0346,38.16,-0.6,-24.84,272.25,-9.69,-12.99,5.0,45.368378,15.081915,444.0,NaN,41.37,2.3,277.94,21 / 39,30021,2021-12-17 08:17:01:382
1.761,1.6511,9.387,1.8812,1.8042,9.4539,0.3184,-0.0084,0.0118,0.0033,0.0839,0.0107,39.49,-1.09,-24.36,272.6,-10.6,-11.25,5.0,45.36839,15.081757,444.3,NaN,43.85,2.2,274.62,21 / 39,30522,2021-12-17 08:17:01:883
2.13,1.665,9.351,1.8101,1.7053,9.4861,-0.2307,0.1621,-0.1677,-0.0235,-0.0626,0.0276,38.94,-1.09,-24.54,272.68,-10.01,-10.8,5.0,45.36839,15.081757,444.3,NaN,43.85,2.2,274.62,21 / 39,31022,2021-12-17 08:17:02:383
2.003,1.697,9.722,2.0415,1.6084,9.456,-0.1717,-0.1074,-0.2699,0.0078,0.0014,-0.0106,39.11,-1.69,-24.66,270.9,-9.44,-12.18,5.0,45.368397,15.081595,443.6,NaN,45.23,2.2,275.86,20 / 39,31521,2021-12-17 08:17:02:882
2.01,1.6511,9.5291,1.9965,1.7119,9.4474,0.1484,0.0852,-0.3533,0.0099,0.0336,-0.004,39.3,-1.69,-24.36,270.96,-10.05,-11.93,5.0,45.368397,15.081595,443.6,NaN,45.23,2.2,275.86,20 / 39,32022,2021-12-17 08:17:03:383
1.673,1.601,10.031,1.769,1.5852,9.5146,0.0801,-0.1445,-0.1558,-0.022,0.0446,-0.0045,39.84,-1.74,-24.19,270.86,-9.46,-10.86,5.0,45.368412,15.081433,443.5,NaN,46.5,2.2,278.57,20 / 39,32521,2021-12-17 08:17:03:882
1.541,1.622,9.581,1.7789,1.6406,9.5034,-0.0462,-0.0891,0.4186,0.0355,-0.0179,-0.0269,40.01,-1.99,-24.24,272.19,-9.32,-10.39,5.0,45.368412,15.081433,443.5,NaN,46.5,2.2,278.57,20 / 39,33021,2021-12-17 08:17:04:382
1.761,1.338,9.471,1.8253,1.5528,9.5093,-0.1941,0.1462,-0.2983,-0.0558,-0.0261,-0.0228,40.5,-1.31,-24.19,272.1,-9.48,-10.74,5.0,45.368427,15.081262,443.7,NaN,48.41,2.2,275.27,20 / 39,33521,2021-12-17 08:17:04:882
2.417,1.361,9.6341,2.1319,1.3747,9.4729,-0.2425,-0.0634,0.2309,-0.0232,-0.0951,0.0237,40.44,-1.09,-23.89,271.46,-8.14,-12.28,5.0,45.368427,15.081262,443.7,NaN,48.41,2.2,275.27,20 / 39,34021,2021-12-17 08:17:05:382
2.568,1.199,9.521,2.4553,1.2765,9.4081,0.0373,0.1692,-0.0302,-0.0505,-0.0341,-0.0025,40.69,-0.6,-24.3,270.97,-7.77,-14.37,5.0,45.368443,15.081087,443.9,NaN,49.33,2.1,279.94,21 / 39,34522,2021-12-17 08:17:05:883
2.3501,1.187,9.4301,2.3838,1.1387,9.4441,0.0171,-0.0317,0.5627,-0.0188,0.0109,-0.0533,41.21,0.71,-23.94,273.17,-6.67,-14.17,5.0,45.368443,15.081087,443.9,NaN,49.33,2.1,279.94,21 / 39,35022,2021-12-17 08:17:06:383
1.883,1.2491,9.66,2.1927,1.1862,9.4845,0.1413,-0.055,0.0142,-8.0E-4,0.0958,-0.0434,41.46,0.9,-24.24,273.31,-6.89,-13.6,5.0,45.368473,15.080912,442.9,NaN,48.49,2.1,282.12,22 / 39,35521,2021-12-17 08:17:06:882
1.074,1.529,11.309,1.8822,1.4196,9.5191,0.0843,-0.5962,-0.3421,0.0858,0.0659,-0.0703,42.11,1.5,-24.41,275.24,-8.32,-11.18,5.0,45.368473,15.080912,442.9,NaN,48.49,2.1,282.12,22 / 39,36021,2021-12-17 08:17:07:382
1.625,1.941,8.789,1.5244,1.605,9.5536,-0.3219,-0.0786,0.2878,-0.0375,-0.0554,-0.0415,40.5,2.76,-24.6,277.62,-9.42,-9.07,5.0,45.36851,15.080738,442.3,NaN,49.45,2.1,287.43,21 / 39,36521,2021-12-17 08:17:07:882
2.498,1.2131,9.866,1.9656,1.4847,9.4922,-0.2595,0.012,0.4111,-0.0359,-0.1662,0.0219,41.21,3.24,-25.01,276.83,-8.71,-11.7,5.0,45.36851,15.080738,442.3,NaN,49.45,2.1,287.43,21 / 39,37022,2021-12-17 08:17:08:383
2.1611,1.323,9.282,2.4349,1.343,9.4041,-0.0891,0.0445,-0.0872,-0.0424,-0.0304,-0.0059,40.74,4.09,-25.01,277.28,-7.87,-14.52,5.0,45.368553,15.080567,442.1,NaN,51.34,2.1,289.64,21 / 39,37522,2021-12-17 08:17:08:883
2.099,1.2851,9.452,2.2593,1.3313,9.4495,0.0376,-0.1685,0.2621,0.0077,0.0557,-0.0296,41.81,4.69,-24.71,278.26,-7.56,-14.11,5.0,45.368553,15.080567,442.1,NaN,51.34,2.1,289.64,21 / 39,38021,2021-12-17 08:17:09:382
2.075,1.56,9.0311,2.1245,1.4505,9.4632,0.3947,6.0E-4,-0.4136,0.0257,0.0672,-0.0305,42.19,4.69,-24.9,278.67,-8.28,-13.0,5.0,45.368595,15.080403,441.5,NaN,49.84,2.1,292.41,21 / 39,38522,2021-12-17 08:17:09:883
1.5101,1.4261,9.495,1.7093,1.4992,9.5395,0.2791,-0.0671,0.3321,-0.0168,0.0641,-0.05,42.0,5.64,-24.6,280.54,-8.84,-10.47,5.0,45.368595,15.080403,441.5,NaN,49.84,2.1,292.41,21 / 39,39021,2021-12-17 08:17:10:382
1.926,1.376,9.2321,1.7348,1.4961,9.5353,-0.0587,-0.1115,-0.6237,0.0033,-0.0612,-0.0144,41.46,6.06,-25.01,280.88,-8.75,-9.99,5.0,45.36865,15.080238,440.6,NaN,51.81,2.1,294.13,21 / 39,39521,2021-12-17 08:17:10:882
1.967,1.3661,9.9881,1.777,1.4797,9.5301,-0.0615,0.1524,-0.2369,-0.0225,0.0091,-0.048,40.31,6.71,-25.01,282.26,-8.78,-10.63,5.0,45.36865,15.080238,440.6,NaN,51.81,2.1,294.13,21 / 39,40021,2021-12-17 08:17:11:382
2.142,1.3571,10.134,1.9497,1.3587,9.5144,-0.0825,-0.0545,-0.6736,-0.0212,0.0021,-0.007,40.39,7.09,-25.39,281.84,-8.04,-11.38,5.0,45.36871,15.080063,439.7,NaN,54.74,2.1,296.08,21 / 39,40522,2021-12-17 08:17:11:883
1.6421,1.443,9.828,1.8894,1.322,9.5317,0.2686,-0.0673,0.1745,0.0085,0.0792,-0.0036,40.39,6.96,-25.14,281.72,-7.73,-11.47,5.0,45.36871,15.080063,439.7,NaN,54.74,2.1,296.08,21 / 39,41022,2021-12-17 08:17:12:383
1.247,1.361,10.103,1.5598,1.638,9.5422,0.0888,-0.1599,0.2668,0.0675,0.0353,-0.0737,40.5,7.01,-25.39,282.42,-9.33,-9.47,5.0,45.368774,15.079882,438.6,NaN,56.21,2.1,298.4,22 / 39,41522,2021-12-17 08:17:12:883
2.475,1.287,9.804,1.7967,1.3148,9.5506,-0.5324,-0.1176,0.0692,-0.0575,-0.0851,0.065,40.26,7.14,-25.39,281.88,-7.7,-10.65,5.0,45.368774,15.079882,438.6,NaN,56.21,2.1,298.4,22 / 39,42021,2021-12-17 08:17:13:382
2.1731,1.1411,9.17,2.3053,1.1812,9.4584,0.1641,0.1233,0.384,-0.0296,-0.0065,0.0261,40.8,6.66,-24.9,280.77,-6.92,-13.7,5.0,45.368843,15.079703,437.8,NaN,55.38,2.1,297.84,22 / 39,42522,2021-12-17 08:17:13:883
2.5631,0.926,9.4451,2.235,1.0995,9.485,0.1218,0.0246,0.2572,-0.0029,0.049,-0.0197,41.16,7.01,-24.96,280.71,-6.44,-13.26,5.0,45.368843,15.079703,437.8,NaN,55.38,2.1,297.84,22 / 39,43021,2021-12-17 08:17:14:382
2.3141,0.9881,9.761,2.2839,1.084,9.4752,-0.122,0.2723,-0.4526,-0.0062,-0.0132,0.0066,41.7,7.91,-24.96,281.59,-6.41,-13.45,5.0,45.36891,15.079528,437.6,NaN,54.54,2.0,299.45,23 / 39,43522,2021-12-17 08:17:14:883
2.613,1.098,9.5621,2.2991,1.0152,9.4791,-0.3024,-0.0744,-0.0824,-0.0199,0.0034,-0.038,41.21,8.89,-25.09,282.91,-5.97,-13.57,5.0,45.36891,15.079528,437.6,NaN,54.54,2.0,299.45,23 / 39,44021,2021-12-17 08:17:15:382
3.209,0.722,9.414,2.7956,0.9154,9.355,-0.4275,0.2052,-0.0511,-0.0682,-0.1156,-0.0177,40.2,9.96,-25.14,283.96,-5.73,-15.83,5.0,45.368984,15.07936,437.0,NaN,54.64,2.0,303.78,22 / 39,44521,2021-12-17 08:17:15:882
2.915,1.1531,9.081,3.0144,0.744,9.3022,0.3175,-0.2503,-0.1231,-7.0E-4,-0.0055,-0.0419,40.01,10.69,-25.8,284.5,-4.34,-17.89,5.0,45.368984,15.07936,437.0,NaN,54.64,2.0,303.78,22 / 39,45022,2021-12-17 08:17:16:383
2.6711,1.2851,9.387,2.7556,0.9789,9.3605,0.044,-0.4539,-0.2438,0.0524,0.0634,-0.0954,39.41,12.06,-26.51,286.02,-5.26,-16.92,5.0,45.369072,15.079193,436.7,NaN,56.16,2.0,310.08,23 / 39,45522,2021-12-17 08:17:16:883
2.4941,1.275,10.206,2.53,1.2143,9.3965,-0.029,0.0138,-0.3986,0.0329,0.0261,-0.077,38.76,12.3,-26.34,287.07,-6.78,-15.34,5.0,45.369072,15.079193,436.7,NaN,56.16,2.0,310.08,23 / 39,46021,2021-12-17 08:17:17:382
2.4701,1.376,9.7751,2.4707,1.1352,9.4222,0.0736,-0.0752,-0.0306,0.0044,6.0E-4,-0.0505,38.29,13.44,-26.1,288.77,-6.74,-14.69,5.0,45.369164,15.079043,436.1,NaN,55.39,2.0,315.07,23 / 39,46522,2021-12-17 08:17:17:883
2.7191,1.026,10.043,2.5469,1.3352,9.3755,-0.0602,0.191,0.0391,-0.0076,-0.0441,-0.0164,37.5,14.16,-26.34,290.12,-7.83,-15.2,5.0,45.369164,15.079043,436.1,NaN,55.39,2.0,315.07,23 / 39,47021,2021-12-17 08:17:18:382
