sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.046;6.9431;6.824;2.3287;7.0008;6.4604;-0.1748;-0.2013;0.3102;0.1288;-0.124;0.7039;2151.0;30.36;-17.7;41.1;200.38;-46.02;-16.16;2.0;61.326;45.345684;14.423538;350.65;NaN;35.8;20.0;83.87;14 / 41;47;2021-12-16 10:28:35:651
2.2421;6.86;6.548;2.1124;6.6768;6.865;-0.5373;0.3432;-1.0894;-0.2016;-0.1158;0.1011;2461.0;32.81;-19.69;40.09;203.57;-43.94;-16.03;2.0;59.992;45.345684;14.423538;350.65;NaN;35.8;20.0;83.87;14 / 41;547;2021-12-16 10:28:36:151
1.575;5.313;8.727;1.4758;6.9753;6.7333;-0.2743;1.2646;-2.4172;-0.1933;0.0813;-0.1418;2059.0;34.2;-23.21;41.7;204.19;-44.92;-13.98;2.0;60.21;45.34547;14.42375;350.65;NaN;34.18;19.032257;94.22;15 / 41;1047;2021-12-16 10:28:36:651
0.854;6.857;7.281;1.2254;7.3787;6.3422;0.1911;0.8096;-1.9786;0.3362;0.2614;-0.0441;2302.0;29.21;-28.99;39.9;200.86;-46.35;-11.97;2.0;62.009;45.34547;14.42375;350.65;NaN;34.18;19.032257;94.22;15 / 41;1547;2021-12-16 10:28:37:151
0.225;7.286;6.455;0.9515;7.5515;6.1838;0.8418;0.0372;-0.2165;0.2074;0.0358;-0.1171;2172.0;31.14;-30.24;38.81;205.22;-50.36;-8.75;2.0;64.036;45.345352;14.423918;350.65;NaN;33.56;18.709679;98.15;14 / 41;2047;2021-12-16 10:28:37:651
0.99;5.33;8.961;0.4893;6.9935;6.8573;-0.1509;1.2022;-2.2659;-0.6923;-0.0231;-0.0626;2359.0;32.1;-28.91;36.6;211.24;-45.49;-4.08;2.0;63.21;45.345352;14.423918;350.65;NaN;33.56;18.709679;98.15;14 / 41;2547;2021-12-16 10:28:38:151
0.593;5.4521;7.0991;0.9918;5.4252;8.1089;0.3758;0.0621;-0.3223;-0.1259;0.043;-0.0199;3014.0;30.19;-25.86;37.14;209.87;-34.24;-6.85;2.0;62.886;45.34527;14.42411;350.32;NaN;34.76;18.064516;100.95;16 / 41;3047;2021-12-16 10:28:38:651
0.914;4.938;6.927;0.4409;6.0158;7.7321;-0.7267;0.4028;0.4815;0.1497;-0.0529;-0.0474;2856.0;34.61;-24.19;37.99;216.71;-36.52;-3.97;2.0;59.425;45.34527;14.42411;350.32;NaN;34.76;18.064516;100.95;16 / 41;3548;2021-12-16 10:28:39:152
0.222;5.933;7.4321;0.5314;5.3211;8.2203;0.349;-0.54;0.6682;-0.1046;0.4752;-0.1365;3892.0;25.26;-26.34;35.64;205.54;-33.75;-6.75;2.0;59.724;45.34521;14.424237;350.0;NaN;33.07;18.064516;103.86;15 / 41;4048;2021-12-16 10:28:39:652
-0.22;4.8131;9.624;0.3796;5.8222;7.8822;-0.1484;0.5609;-2.1203;-0.0866;0.0758;0.4652;3817.0;15.49;-18.71;74.4;190.85;-36.42;-2.76;2.0;58.361;45.34521;14.424237;350.0;NaN;33.07;18.064516;103.86;15 / 41;4547;2021-12-16 10:28:40:151
-2.745;5.208;8.219;-1.3844;4.9296;8.3638;0.4609;0.4156;-0.6481;-0.2062;0.1337;-0.0023;4432.0;27.36;-49.09;167.21;202.05;-31.37;8.35;2.0;59.309;45.345146;14.424358;350.32;NaN;30.09;17.419355;104.81;15 / 41;5047;2021-12-16 10:28:40:651
-2.297;7.386;6.177;-3.3409;6.429;6.6088;-1.0998;-1.2266;1.1545;0.5855;0.188;0.2471;4468.0;27.9;-46.69;172.44;218.74;-37.38;25.61;2.0;63.129;45.345146;14.424358;350.32;NaN;30.09;17.419355;104.81;15 / 41;5547;2021-12-16 10:28:41:151
-3.2741;7.9031;4.3511;-2.736;7.8759;5.1628;1.2944;0.0367;1.0549;0.1716;0.1192;-0.1077;3431.0;26.76;-47.29;172.86;214.53;-53.16;25.53;2.0;68.969;45.34497;14.424512;351.29;NaN;26.82;15.483872;106.3;15 / 41;6047;2021-12-16 10:28:41:651
-1.998;8.4851;5.4911;-2.5942;8.1746;4.7558;-0.3223;-0.4199;-0.2783;-0.0491;-0.0899;0.2494;3380.0;26.59;-48.54;172.99;219.3;-56.15;31.39;2.0;70.606;45.34497;14.424512;351.29;NaN;26.82;15.483872;106.3;15 / 41;6547;2021-12-16 10:28:42:151
-0.584;7.781;5.883;-1.8827;8.0437;5.2845;-0.8364;-0.1463;0.7573;-0.1086;-0.0337;0.036;4517.0;26.4;-47.04;169.39;208.38;-55.11;19.61;2.0;65.865;45.34485;14.424595;350.97;NaN;28.88;14.516129;104.55;15 / 41;7048;2021-12-16 10:28:42:652
-1.352;7.815;6.8411;-1.0972;8.1571;5.3318;0.2421;0.2502;-1.5089;-0.0841;-0.0494;-0.1074;4512.0;22.99;-42.0;161.81;200.02;-56.28;11.63;2.0;65.961;45.34485;14.424595;350.97;NaN;28.88;14.516129;104.55;15 / 41;7547;2021-12-16 10:28:43:151
-1.601;7.884;6.7691;-1.044;8.0403;5.5167;1.0296;0.0147;-0.539;-0.0114;0.0443;0.1078;4787.0;17.1;-42.0;160.2;198.14;-54.4;11.61;2.0;69.183;45.344727;14.424665;351.29;NaN;28.57;13.225806;107.49;15 / 41;8047;2021-12-16 10:28:43:651
-2.003;8.499;4.734;-1.3725;7.8399;5.7291;0.1244;-0.4447;0.7038;0.0868;-0.0775;-0.0268;4897.0;28.2;-36.9;165.36;204.39;-52.58;13.46;2.0;67.089;45.344727;14.424665;351.29;NaN;28.57;13.225806;107.49;15 / 41;8547;2021-12-16 10:28:44:151
-0.38;8.1671;6.323;-1.4;7.9621;5.5511;-0.9748;-0.2512;-0.2347;-0.1067;-0.1226;0.2654;3675.0;29.94;-40.2;173.59;206.06;-54.81;15.4;2.0;74.133;45.34463;14.424723;350.65;NaN;33.37;12.258064;106.98;16 / 41;9048;2021-12-16 10:28:44:652
-1.644;4.722;7.638;-0.9074;7.5691;6.1689;1.1401;2.6323;-1.5337;-0.6893;0.0092;-0.1236;3160.0;23.34;-54.41;168.84;196.41;-50.52;8.37;2.0;71.625;45.34463;14.424723;350.65;NaN;33.37;12.258064;106.98;16 / 41;9547;2021-12-16 10:28:45:151
-2.7619;3.3911;7.563;-2.6617;3.9311;8.5809;0.0693;0.3596;0.6737;-0.1455;-0.0118;-0.1462;935.0;28.09;-55.5;166.86;214.26;-23.63;17.23;2.0;67.17;45.34457;14.424877;349.68;NaN;36.57;11.612903;105.23;15 / 41;10047;2021-12-16 10:28:45:651
-2.731;6.0;5.213;-3.1148;5.1265;7.758;-0.7089;-1.0016;1.8115;0.3748;0.0327;0.4443;449.0;24.84;-51.24;168.36;215.54;-31.52;21.88;2.0;64.791;45.34457;14.424877;349.68;NaN;36.57;11.612903;105.23;15 / 41;10547;2021-12-16 10:28:46:151
-3.564;6.8171;5.9411;-3.5338;6.2658;6.6651;-0.9845;-0.2083;-0.3496;0.1055;-0.0103;0.0884;92.0;29.21;-51.96;170.1;219.63;-38.62;27.64;2.0;64.094;45.344536;14.42501;349.35;NaN;36.32;11.935484;102.54;14 / 41;11047;2021-12-16 10:28:46:651
-2.5939;7.4291;7.5731;-2.3466;7.2328;6.1928;-0.9816;-0.2034;-0.4744;0.1184;-0.0201;0.2599;47.0;27.79;-52.09;176.51;212.35;-46.21;22.22;2.0;65.976;45.344536;14.42501;349.35;NaN;36.32;11.935484;102.54;14 / 41;11548;2021-12-16 10:28:47:152
-1.5191;7.599;6.0911;-1.8691;7.3057;6.2693;0.1027;-0.1567;0.5305;0.0388;-0.0598;-0.001;67.0;32.94;-49.09;174.66;208.75;-47.89;16.85;2.0;69.524;45.344517;14.425145;349.35;NaN;37.92;12.258064;100.34;12 / 41;12047;2021-12-16 10:28:47:651
-1.22;4.7651;8.753;-1.2302;6.1968;7.5005;0.6996;1.8916;-1.8847;-0.778;-0.2072;0.012;67.0;30.11;-50.29;170.94;205.08;-46.86;13.44;2.0;68.654;45.344517;14.425145;349.35;NaN;37.92;12.258064;100.34;12 / 41;12547;2021-12-16 10:28:48:151
-1.335;7.221;7.494;-1.0499;5.4896;8.0581;1.6582;-1.5959;-0.3048;0.0864;0.005;0.1587;25.0;28.26;-49.5;170.89;200.22;-33.3;7.12;2.0;64.278;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;3 / 41;13047;2021-12-16 10:28:48:651
-0.6551;6.774;7.1471;-0.3554;6.8423;7.0162;-0.1622;-0.3104;-0.7737;0.0465;0.0054;-0.0861;27.0;31.74;-46.26;173.64;195.13;-43.78;3.03;2.0;62.926;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;3 / 41;13547;2021-12-16 10:28:49:151
-0.1721;6.9431;6.4811;-0.6065;6.7474;7.0905;-0.3634;0.0037;-0.0321;0.0282;-0.0063;-0.0807;45.0;34.69;-42.6;176.94;198.36;-43.48;4.89;2.0;66.346;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;14048;2021-12-16 10:28:49:652
-1.89;6.687;6.381;-0.7864;6.7709;7.0503;1.1212;0.1467;-0.0242;-0.1115;0.2266;-0.3124;21.0;22.09;-53.7;173.21;194.73;-43.67;6.36;2.0;66.355;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;14548;2021-12-16 10:28:50:152
-0.531;6.419;6.8;-1.4551;6.6776;7.033;-0.8675;0.3177;0.1978;0.1037;-0.0421;0.1309;25.0;26.4;-57.0;172.39;202.7;-42.43;12.75;2.0;67.865;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;15048;2021-12-16 10:28:50:652
-1.6969;6.156;6.975;-0.514;6.9646;6.8848;0.5249;0.4744;0.0524;-0.0613;-0.0192;-0.1558;6.0;31.39;-54.66;172.61;196.29;-45.38;5.19;2.0;67.201;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;15547;2021-12-16 10:28:51:151
-0.761;6.671;7.425;-1.1477;6.6769;7.0903;-0.2488;0.2208;-0.5643;-0.0894;-0.0903;0.1757;34.0;30.06;-57.06;170.51;202.73;-43.4;10.56;2.0;68.005;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;16047;2021-12-16 10:28:51:651
-1.718;5.249;7.9991;-1.2189;6.1794;7.5166;0.1976;0.9765;-0.8191;-0.2112;-0.0418;-0.1985;72.0;33.84;-53.59;167.1;202.95;-39.06;9.21;2.0;67.779;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;16547;2021-12-16 10:28:52:151
-0.7249;5.256;8.3081;-1.5167;4.5428;8.5576;-0.931;-0.5512;0.0041;-0.2339;-0.0334;0.0087;14.0;27.06;-53.4;166.26;206.47;-27.61;11.55;2.0;63.112;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;17047;2021-12-16 10:28:52:651
-2.731;4.55;7.563;-1.5469;4.6002;8.5215;0.7958;-0.1669;0.4582;0.0785;0.1316;-0.1895;34.0;23.64;-52.74;168.96;202.26;-28.09;9.15;2.0;62.264;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;17547;2021-12-16 10:28:53:151
-1.8349;4.6811;8.784;-2.5232;5.0003;8.0499;-0.8615;0.274;-0.7488;-0.0792;-0.0758;-0.0747;17.0;28.14;-51.11;165.49;211.94;-31.17;17.15;2.0;65.672;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;18048;2021-12-16 10:28:53:652
-0.969;5.823;8.3651;-2.3457;4.6725;8.2968;-1.3786;-1.1434;-0.0661;0.0316;-0.0082;0.1875;55.0;24.06;-53.7;167.4;210.45;-27.96;16.45;2.0;64.031;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;18547;2021-12-16 10:28:54:151
-0.5689;6.101;7.901;-1.9061;4.9823;8.2288;-0.9316;-0.5078;0.6847;-0.3316;0.0547;-0.3871;36.0;22.44;-54.24;166.74;203.11;-32.82;11.95;2.0;63.09;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;19047;2021-12-16 10:28:54:651
-0.22;6.6371;8.703;-1.1052;5.8529;7.7905;-0.9953;-0.4444;-0.5342;0.2322;-0.1134;0.3031;21.0;25.69;-52.31;169.91;201.85;-34.47;9.68;2.0;61.635;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;19548;2021-12-16 10:28:55:152
-1.972;5.246;9.0191;-0.8833;6.0467;7.6699;0.8529;0.6404;-1.668;-0.2843;0.0745;-0.5303;3.0;32.04;-51.66;165.36;199.93;-38.07;6.57;2.0;61.687;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;20047;2021-12-16 10:28:55:651
-2.154;5.603;8.559;-1.9149;5.4054;7.9552;0.5859;-0.1296;-0.4257;0.032;0.1302;-0.149;7.0;28.99;-57.3;166.8;206.78;-33.45;13.53;2.0;62.033;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;20547;2021-12-16 10:28:56:151
-1.278;5.627;8.667;-2.0054;5.5317;7.8453;-0.298;-0.0236;-0.9908;0.026;0.0304;0.1592;4.0;21.79;-54.71;168.84;205.12;-34.34;14.34;2.0;62.243;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;21048;2021-12-16 10:28:56:652
-1.383;5.213;7.068;-1.8491;5.3961;7.977;-0.2657;0.3026;0.4606;-0.0759;0.0285;-0.1576;10.0;22.26;-52.86;169.09;203.44;-34.03;12.45;2.0;62.407;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;21547;2021-12-16 10:28:57:151
-1.132;5.534;7.1801;-1.8079;5.3791;7.998;0.1641;0.1569;0.3645;0.0855;0.0198;-0.01;0.0;24.79;-55.5;167.7;204.63;-33.04;12.63;2.0;63.688;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;22047;2021-12-16 10:28:57:651
-2.47;5.2421;8.1041;-2.1271;5.0583;8.1277;-0.0421;-0.1245;0.3428;-0.0373;0.0033;-0.2171;0.0;28.99;-53.4;167.89;209.37;-31.05;14.67;2.0;61.521;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;22547;2021-12-16 10:28:58:151
-1.448;5.333;8.2481;-1.7393;5.4483;7.9663;-0.1916;0.4864;-0.7652;-0.2346;-0.0297;-0.2161;0.0;30.24;-52.86;167.29;206.34;-33.75;12.32;2.0;62.156;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;23047;2021-12-16 10:28:58:651
-0.378;6.881;7.314;-1.8596;5.5028;7.9013;-0.2524;-0.691;0.4129;0.0377;0.1057;-0.252;0.0;29.76;-51.19;171.19;206.46;-34.19;12.36;2.0;62.347;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;23548;2021-12-16 10:28:59:152
-1.5941;5.538;8.1521;-0.9526;6.2872;7.4655;0.4214;0.7393;-0.2657;-0.1783;0.0571;-0.2079;0.0;28.31;-52.01;172.26;197.44;-40.63;6.31;2.0;64.297;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;24047;2021-12-16 10:28:59:651
-1.125;5.388;7.599;-0.9923;5.8994;7.7706;-0.1608;0.3013;0.3649;-0.1314;0.0205;-0.1111;0.0;27.9;-53.1;171.06;198.77;-37.67;7.05;2.0;63.799;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;24548;2021-12-16 10:29:00:152
-2.022;4.6691;8.3561;-1.316;5.2662;8.1673;0.4582;0.7184;-0.3375;-0.2643;-0.0175;-0.1897;0.0;28.86;-53.94;169.44;201.78;-34.14;8.74;2.0;63.268;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;25047;2021-12-16 10:29:00:651
-1.8829;5.366;8.078;-1.9305;4.952;8.2414;-0.0491;-0.379;0.1519;0.0617;0.0206;-0.0719;3.0;30.79;-53.1;168.9;208.75;-30.33;13.18;2.0;62.129;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;25547;2021-12-16 10:29:01:151
-1.0909;5.5361;9.3011;-1.0399;5.5843;7.9941;0.0717;0.0685;-1.3021;0.0213;-0.0177;0.1257;3.0;29.51;-52.99;166.91;200.71;-34.71;7.41;2.0;61.573;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;26047;2021-12-16 10:29:01:651
-0.9;6.213;8.265;-0.9006;5.4817;8.0815;-0.0013;-0.7054;-0.1886;0.1464;0.003;0.0083;25.0;31.99;-54.84;167.64;200.37;-33.22;6.33;2.0;62.613;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;26547;2021-12-16 10:29:02:151
-0.186;5.3591;8.868;-0.8137;5.4904;8.0848;-0.639;0.1234;-0.7727;-0.0874;0.0105;-0.0106;0.0;28.61;-55.74;168.3;198.1;-34.3;5.64;2.0;62.732;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;27047;2021-12-16 10:29:02:651
-0.287;5.0051;9.114;0.1322;5.6214;8.0345;0.42;0.6191;-1.075;0.0877;-0.022;0.1484;16.0;28.14;-57.36;167.04;190.03;-34.98;-0.94;2.0;61.635;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;27548;2021-12-16 10:29:03:152
0.2081;5.574;8.645;-0.5355;5.1201;8.3468;-0.7644;-0.4677;-0.2797;-0.0499;0.0672;-0.319;0.0;31.56;-55.61;167.76;197.64;-31.47;3.67;2.0;59.775;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;28047;2021-12-16 10:29:03:651
0.761;5.232;8.808;1.1129;5.7806;7.8432;0.3926;0.5392;-0.9514;-0.1525;0.0769;0.0901;0.0;24.24;-58.2;168.0;180.06;-36.12;-8.08;2.0;61.303;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;28548;2021-12-16 10:29:04:152
-1.3421;6.137;8.0921;0.4521;5.6392;8.0103;1.4534;0.3592;-1.1147;-0.0399;0.1541;-0.4779;10.0;26.51;-55.91;169.09;184.5;-34.31;-5.32;2.0;62.609;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;29048;2021-12-16 10:29:04:652
-1.093;6.06;8.313;-0.3464;6.2814;7.5229;0.9731;-0.4581;0.1871;0.2669;-0.0318;0.0957;17.0;27.71;-55.86;174.79;192.98;-38.61;2.32;2.0;62.283;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;29547;2021-12-16 10:29:05:151
-0.375;6.915;8.315;-0.5927;6.5248;7.297;0.7773;0.1532;-0.8043;0.1191;0.0388;0.0254;47.0;25.44;-55.26;173.16;193.66;-41.72;4.19;2.0;62.775;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;30048;2021-12-16 10:29:05:652
-1.3421;6.381;7.286;-0.3567;6.7417;7.1128;0.9175;-0.0851;0.0138;-0.0199;0.0782;-0.4025;91.0;30.79;-54.24;174.06;191.67;-43.33;0.57;2.0;63.334;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;30548;2021-12-16 10:29:06:152
-0.816;6.7931;7.997;-0.2787;6.7965;7.064;-0.1027;-0.2048;-0.4404;-0.0418;-0.0582;0.1343;520.0;31.14;-51.71;175.09;194.9;-43.86;3.56;2.0;64.772;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;31047;2021-12-16 10:29:06:651
0.756;6.647;7.1831;-0.2163;6.5468;7.2981;-0.3396;0.6879;-0.3416;-0.16;0.0285;0.1567;1843.0;24.54;-57.0;175.39;191.46;-42.62;2.42;2.0;63.687;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;31547;2021-12-16 10:29:07:151
-0.576;6.273;7.446;0.4995;6.4299;7.3876;1.6391;0.2944;0.0547;0.0116;-0.0346;0.026;3075.0;27.6;-59.59;171.9;185.67;-41.04;-4.04;2.0;63.873;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;32048;2021-12-16 10:29:07:652
-0.229;6.594;7.496;-0.9845;6.1438;7.5799;-0.5461;-0.5088;-0.1156;0.1337;-0.0802;0.1715;3128.0;29.16;-56.1;172.44;198.96;-38.79;7.4;2.0;64.204;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;32547;2021-12-16 10:29:08:151
0.0431;5.6201;8.8631;0.5344;6.8198;7.0267;-0.2494;0.6052;-1.9636;0.0961;-0.1248;0.3156;597.0;33.0;-58.39;174.71;186.8;-44.06;-4.35;2.0;63.892;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;33047;2021-12-16 10:29:08:651
0.078;7.4681;8.214;0.1326;6.5196;7.3245;-0.0223;-1.0626;-1.3964;0.0478;0.0582;-0.0183;1445.0;28.69;-57.11;173.46;188.64;-40.87;-1.71;2.0;62.781;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;33548;2021-12-16 10:29:09:152
0.998;5.754;7.556;-0.0171;6.1164;7.6655;-0.7963;0.6155;0.358;-0.1376;0.0292;-0.1448;1577.0;31.86;-58.39;175.39;190.7;-39.39;-0.81;2.0;63.487;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;34047;2021-12-16 10:29:09:651
-0.2651;7.001;7.635;0.973;6.0567;7.6511;1.4625;-0.6823;-0.3202;-0.0434;0.0908;-0.33;1593.0;33.24;-58.2;174.3;183.99;-38.14;-7.25;2.0;62.128;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 40;34547;2021-12-16 10:29:10:151
0.782;6.146;7.58;0.4958;6.3173;7.4844;-0.5084;-0.0172;-0.0216;-0.0337;-0.0758;0.1125;1589.0;36.49;-58.86;175.86;188.64;-40.1;-3.79;2.0;62.374;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 41;35048;2021-12-16 10:29:10:652
-0.0761;6.036;7.1951;0.4028;6.1394;7.6365;0.2747;0.11;0.1128;-0.0498;0.0461;-0.0832;1590.0;33.96;-57.6;177.6;188.86;-38.76;-3.02;2.0;62.735;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 41;35547;2021-12-16 10:29:11:151
0.998;6.831;7.652;0.5826;6.2481;7.536;-0.2923;-0.4672;1.0433;0.0324;-0.1389;0.135;1637.0;38.51;-57.79;168.71;191.29;-39.24;-2.85;2.0;62.958;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 41;36047;2021-12-16 10:29:11:651
0.2291;6.1511;7.836;-0.1225;6.1342;7.6503;-0.1373;-0.1618;-0.0394;-0.0462;0.043;-0.2914;1652.0;43.09;-49.2;180.0;196.4;-38.83;0.44;2.0;66.369;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 41;36547;2021-12-16 10:29:12:151
-1.06;6.2921;6.8741;-0.271;6.3014;7.5093;0.7322;0.0028;0.6593;-0.1239;0.0436;-0.3147;1614.0;41.94;-45.0;175.5;196.01;-40.34;0.17;2.0;62.46;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 41;37047;2021-12-16 10:29:12:651
0.765;8.0111;8.049;0.0405;6.4162;7.4163;-0.6894;-1.5375;-0.668;0.2625;0.2362;0.6054;1634.0;16.26;-54.36;192.06;185.13;-40.86;-0.31;2.0;63.124;45.344486;14.425297;349.03;NaN;39.12;13.225806;99.4;0 / 41;37547;2021-12-16 10:29:13:151
-1.208;7.9391;6.192;-0.6755;6.8157;7.0185;0.4418;-1.1024;0.8179;0.1199;0.089;-0.6299;1780.0;35.89;-47.34;182.76;194.46;-43.62;1.62;2.0;61.518;45.342274;14.430475;349.03;NaN;46.47;26.129032;144.77;8 / 41;38047;2021-12-16 10:29:13:651
-1.101;7.889;4.653;-0.9186;7.5383;6.2049;0.1364;-0.3122;1.5115;0.3365;0.0434;-0.1444;1761.0;38.34;-53.59;194.04;198.98;-48.52;6.82;2.0;62.018;45.342274;14.430475;349.03;NaN;46.47;26.129032;144.77;8 / 41;38547;2021-12-16 10:29:14:151
-0.852;7.9271;6.051;-0.5904;7.9286;5.7409;0.2385;-0.0312;-0.2446;-0.3608;-0.0052;-0.1246;1647.0;24.41;-24.3;173.81;195.48;-56.21;6.28;2.0;60.997;45.342144;14.430545;349.03;NaN;55.31;22.580645;152.41;8 / 41;39047;2021-12-16 10:29:14:651
-1.029;8.1281;5.8691;-0.91;7.8852;5.7589;0.7239;0.2851;-1.0837;0.0073;0.976;0.7079;1674.0;-14.34;-3.66;29.89;161.52;-52.73;8.77;2.0;62.459;45.342144;14.430545;349.03;NaN;55.31;22.580645;152.41;8 / 41;39547;2021-12-16 10:29:15:151
-0.859;7.358;6.426;-1.1455;7.6669;6.0064;-0.7377;-0.2669;-0.6937;-0.3202;1.0379;0.8854;1679.0;-19.09;5.1;23.04;140.36;-51.43;10.8;2.0;61.748;45.341843;14.430595;349.03;NaN;60.05;20.32258;156.17;11 / 41;40047;2021-12-16 10:29:15:651
-1.0721;7.362;6.0101;-0.8273;7.4719;6.2973;0.192;-0.106;-0.3191;0.0792;0.025;0.0074;1635.0;-29.94;12.49;27.11;120.75;-49.63;7.48;2.0;62.063;45.341843;14.430595;349.03;NaN;60.05;20.32258;156.17;11 / 41;40547;2021-12-16 10:29:16:151
-0.28;8.3201;6.383;-0.8941;7.5328;6.2152;0.2716;0.4437;0.2284;0.1625;-1.2327;-0.8959;1645.0;-5.1;-6.66;14.81;170.29;-50.19;8.19;2.0;62.99;45.341557;14.430667;349.03;NaN;73.81;17.419355;159.02;11 / 41;41048;2021-12-16 10:29:16:652
-0.476;7.721;6.321;-0.8307;7.4598;6.3113;-0.765;-0.3131;0.0838;-0.0077;-0.2986;-0.2106;1639.0;-5.04;-2.4;17.89;170.37;-49.52;7.5;2.0;61.679;45.341557;14.430667;349.03;NaN;73.81;17.419355;159.02;11 / 41;41547;2021-12-16 10:29:17:151
-1.601;6.96;6.357;-0.7784;7.51;6.2581;-0.4515;-0.7984;-0.8789;0.102;-0.5391;-0.476;1643.0;-4.91;3.24;19.56;169.28;-49.79;6.82;2.0;62.516;45.341324;14.43076;349.03;NaN;74.73;15.16129;160.11;13 / 41;42047;2021-12-16 10:29:17:651
-0.686;7.343;5.996;-0.6768;7.2203;6.6015;0.9343;0.5367;1.0225;-0.0722;-0.4862;-0.3501;1641.0;-4.31;-5.16;25.39;176.81;-47.57;6.31;2.0;60.117;45.341324;14.43076;349.03;NaN;74.73;15.16129;160.11;13 / 41;42547;2021-12-16 10:29:18:151
