"x","y","z","t","class"
-2.2334,6.2567,3.6319,2021-12-18 14:09:21,2
0.563,-5.0706,0.2413,2021-12-18 14:09:22,2
-4.0048,-7.2847,1.3196,2021-12-18 14:09:23,2
-5.5738,-6.6702,1.4238,2021-12-18 14:09:24,2
2.3209,1.6546,-1.0762,2021-12-18 14:09:25,2
-1.3269,-5.5182,1.3704,2021-12-18 14:09:26,2
3.6131,-0.2358,1.2149,2021-12-18 14:09:27,2
1.2212,2.377,-1.5832,2021-12-18 14:09:28,2
-4.3027,-8.0503,2.9028,2021-12-18 14:09:29,2
-2.2278,-1.964,-0.1956,2021-12-18 14:09:30,2
-1.7834,-5.1209,0.0192,2021-12-18 14:09:31,2
1.5866,4.5477,2.3539,2021-12-18 14:09:32,2
14.5521,10.0498,6.7272,2021-12-18 14:09:33,2
-0.016,-4.2647,-0.4601,2021-12-18 14:09:34,2
0.9933,2.7567,-8.3451,2021-12-18 14:09:35,2
-0.0742,0.112,0.3834,2021-12-18 14:09:36,2
0.3296,0.11,1.3544,2021-12-18 14:09:37,2
-3.6501,-1.1074,8.5979,2021-12-18 14:09:38,2
1.1878,0.019,1.6244,2021-12-18 14:09:39,2
-7.214,7.9136,-2.7087,2021-12-18 14:09:40,2
-3.1488,-3.2303,1.6863,2021-12-18 14:09:41,2
-0.7463,-3.6189,-1.7182,2021-12-18 14:09:42,2
2.727,24.3823,14.125,2021-12-18 14:09:43,2
-2.5827,-6.4254,-4.5769,2021-12-18 14:09:44,2
4.3824,4.9916,-1.8604,2021-12-18 14:09:45,2
-14.0106,35.7232,-114.8298,2021-12-18 14:09:46,2
-0.4641,-2.773,2.504,2021-12-18 14:09:47,2
-1.787,3.2086,-5.3386,2021-12-18 14:09:48,2
1.5776,-2.5816,3.2946,2021-12-18 14:09:49,2
1.4729,2.04,5.8937,2021-12-18 14:09:50,2
-3.0096,-0.1937,1.433,2021-12-18 14:09:51,2
-0.157,1.2691,5.2499,2021-12-18 14:09:52,2
-0.0339,1.7,0.4702,2021-12-18 14:09:53,2
-1.0463,-1.9614,2.5215,2021-12-18 14:09:54,2
0.4396,1.6405,-4.4649,2021-12-18 14:09:55,2
1.0781,-0.0213,1.3148,2021-12-18 14:09:56,2
0.7668,1.1527,-2.6992,2021-12-18 14:09:57,2
2.1305,1.7685,4.2803,2021-12-18 14:09:58,2
0.1361,2.8661,-5.8613,2021-12-18 14:09:59,2
-5.7197,2.3537,-4.9151,2021-12-18 14:10:00,2
-0.1302,-1.3669,-4.6519,2021-12-18 14:10:01,2
1.8506,0.5591,-1.218,2021-12-18 14:10:02,2
1.9474,-1.6877,-3.0021,2021-12-18 14:10:03,2
-1.788,-1.0627,0.7919,2021-12-18 14:10:04,2
1.2587,1.318,-2.2616,2021-12-18 14:10:05,2
3.2745,0.8458,-1.5122,2021-12-18 14:10:06,2
-0.5496,0.731,5.6656,2021-12-18 14:10:07,2
-1.0622,1.6673,4.1493,2021-12-18 14:10:08,2
0.6883,1.8939,1.3009,2021-12-18 14:10:09,2
1.6853,0.1591,-1.3899,2021-12-18 14:10:10,2
1.9264,0.1927,-2.7497,2021-12-18 14:10:11,2
-4.6957,0.8967,-14.9307,2021-12-18 14:10:12,2
-0.498,-1.803,-0.448,2021-12-18 14:10:13,2
-1.1132,-1.3876,-0.0154,2021-12-18 14:10:14,2
-2.2277,-0.8601,0.2509,2021-12-18 14:10:15,2
4.3797,-2.5816,-6.0867,2021-12-18 14:10:16,2
-1.9582,-1.7161,-0.8647,2021-12-18 14:10:17,2
1.7531,2.7754,5.5219,2021-12-18 14:10:18,2
2.9186,0.3062,0.5048,2021-12-18 14:10:19,2
-4.6189,-1.2177,-3.6997,2021-12-18 14:10:20,2
-0.6625,-2.8684,-2.9537,2021-12-18 14:10:21,2
-0.8318,-1.2812,-1.9614,2021-12-18 14:10:22,2
-2.5034,1.7687,2.0679,2021-12-18 14:10:23,2
-1.7978,0.8409,-0.6677,2021-12-18 14:10:24,2
0.1764,-0.4687,4.7358,2021-12-18 14:10:25,2
-0.3058,-0.4008,-2.7471,2021-12-18 14:10:26,2
-1.4285,1.7936,5.4752,2021-12-18 14:10:27,2
-0.0709000000000001,2.2018,2.0626,2021-12-18 14:10:28,2
2.3745,-0.8045,2.6625,2021-12-18 14:10:29,2
1.1712,-0.6643,-2.885,2021-12-18 14:10:30,2
0.6522,-1.3654,0.8298,2021-12-18 14:10:31,2
5.985,1.0369,-6.2058,2021-12-18 14:10:32,2
4.7213,1.9289,-3.9352,2021-12-18 14:10:33,2
3.9277,-1.4735,0.6045,2021-12-18 14:10:34,2
-7.5331,1.3636,-1.1305,2021-12-18 14:10:35,2
-2.5989,-0.9179,7.6937,2021-12-18 14:10:36,2
-11.6715,4.4374,2.6584,2021-12-18 14:10:37,2
-5.2533,-3.7617,4.7967,2021-12-18 14:10:38,2
-5.1436,0.2665,4.7065,2021-12-18 14:10:39,2
-9.3735,-4.9791,5.7647,2021-12-18 14:10:40,2
-4.2408,-1.3423,3.61,2021-12-18 14:10:41,2
-1.8491,0.472,-3.0583,2021-12-18 14:10:42,2
-0.6959,-0.7718,-1.3044,2021-12-18 14:10:43,2
0.1257,-3.1402,4.8651,2021-12-18 14:10:44,2
-1.3171,1.2297,0.7638,2021-12-18 14:10:45,2
-3.2696,0.1579,0.8243,2021-12-18 14:10:46,2
1.0619,-0.0725,0.6257,2021-12-18 14:10:47,2
